name,title,facility_name,place_supplement,category_names,event_date1,event_close_date1,event_date2,event_close_date2,event_date3,event_close_date3,event_date4,event_close_date4,event_date5,event_close_date5,event_date_supplement,body,event_uri,target,fee,nursery,capacity,advance_entry,advance_supplement,circle_name,sponsor_supplement,inquiry_email,inquiry_tel,inquiry_uri,memo,image_file_name,image_file_upload_path,image2_file_name,image2_file_upload_path,image3_file_name,image3_file_upload_path,append_file_name,append_file_upload_path,append2_file_name,append2_file_upload_path,append3_file_name,append3_file_upload_path,state
2021072700122 ,草薙神社龍勢花火展　イベント「落下傘作り体験教室」,,静岡県立中央図書館　3階展示室,"学ぶ
作る",2021/8/8,,,,,,,,,,10：00～16：00,"草薙神社龍勢保存会の方と一緒に、「ミニ落下傘」を作ってみよう。
夏休みの自由研究にピッタリです。


■草薙神社龍勢花火展■
【開催期間：7月20日（火）～8月29日（日）】
※7月30日（金）、8月2日（月）、16日（月）は休館日

静岡県立中央図書館は、静岡県指定無形民俗文化財に指定されている草薙神社龍勢花火の伝統と技法を受け継ぐ、草薙神社龍勢保存会の協力を得て、龍勢花火に関する展示とイベントを行います。

展示内容
龍勢花火の製造方法や歴史に関するパネル展示
龍勢花火の実物写真
龍勢花火の写真展示",https://www.tosyokan.pref.shizuoka.jp/contents/info/2021/post_51.html,,,,先着50人,不要,,,静岡県立中央図書館,webmaster@tosyokan.pref.shizuoka.jp,054-262-1242,https://www.tosyokan.pref.shizuoka.jp/index.html,http://www2.pref.shizuoka.jp/all/kisha.nsf/c3db48f94231df2e4925714700049a4e/30313d574073635749258711000963ec?OpenDocument,,,,,,,,,,,,,recognize
2021080200041 ,浜名湖フォークトピア＠はままつフラワーパーク,はままつフラワーパーク,見晴らしの丘休憩所,文化芸術,2021/8/8,,,,,,,,,,11：00～15：00,"浜名湖に響き渡る黄金のフォークソング！

『青春時代に親しんだ懐かしいフォークソングを聞いて元気になった！』というお声から、全国からたくさんの人たちに浜名湖にきていただき、「アマチュアフォークソングの聖地」にしたい！という想いが込められたライブです！",https://e-flowerpark.com/news/event/4257/,,【入園料】無料,,,不要,,はままつフラワーパーク,,,053-487-0511,https://e-flowerpark.com/,,,,,,,,,,,,,,recognize
2021072200240 ,ナイトウォット,浜名湖体験学習施設ウォット,,遊ぶ,2021/8/11,2021/8/14,,,,,,,,,18：00～20：00（最終入館19：30）,"昼間と違う夜の水族館を楽しもう！
幻想的なライトアップと光る生き物をご紹介します。",https://ulotto.entetsuassist-dms.com/news/detail/338,,【入館料】大人320円、高校生以下・70歳以上の方は無料,,,不要,,浜名湖体験学習施設ウォット,,,053-592-2880,https://ulotto.entetsuassist-dms.com/,"https://hamamatsu-daisuki.net/topics/2021/07/20218.html
イベントURL更新（8/2國井）",,,,,,,,,,,,,recognize
2021073000245 ,夜の境内の恐怖体験『闇のとおりゃんせ』,,法多山尊永寺　境内全域（袋井市豊沢2777）,遊ぶ,2021/8/14,2021/8/31,2021/9/4,2021/9/5,2021/9/11,2021/9/12,,,,,18:30～22:00ごろ（最終スタート21:30）　※体験所要時間約40分,"最恐と評されたお化け屋敷が2年ぶりに法多山に登場します！
本年はコロナウィルス感染症拡大防止に配慮し、広い境内全域を使った“屋外型お化け屋敷”とし、またWEBでの完全予約制を取らせていただきます。

最恐の恐怖でこの夏を楽しもう！！",https://www.hattasan.or.jp/newwp/archives/5974,"演出の都合上、1名様でのご入場はできません。
1組に必ず中学生以上1名が必要になります。
未就学児の入場不可／小学生だけでの入場はできません。","1グループ 8,000円（2名様～5名様まで）
※1グループにつき8,000円ですので、5名様で参加なら1名あたりの参加費は1,600円、4名様ならば2,000円…となります。
※荒天等でイベントが中止の場合、チケット代以外の払い戻しはございません。",,,要,,,お化け屋敷『闇のとおりゃんせ』実行委員会,oba@ad-wedge.jp,,http://www.fukuroi-obake.com/,開始日1を今週土曜日からに設定しました。（7/12國井）,,,,,,,,,,,,,recognize
2021073000276 ,キッズイベントinイオンモール浜松志都呂,,イオンモール浜松志都呂,"遊ぶ
スポーツ",2021/8/16,2021/8/19,2021/8/23,2021/8/26,2021/8/28,2021/8/29,,,,,10：00～16：00,"大学のおにいさん、おねえさんとワクワク、ドキドキの体験をしよう！

運動が得意な子も、運動が苦手な子も、大歓迎！常葉大学のおにいさん、おねえさんと一緒に楽しく体を動かしてみよう。キミの隠れた運動能力が開花するかも。
さらに、パラスポーツにも挑戦してみよう。目が見えなくても、体が不自由でも、みんな一緒に楽しめるスポーツが体験できます。
また、身近なもので作る工作、防災意識を高めるイベントなど、日替わりでいろんなことに挑戦してください！！
たくさんの発見があるかも。",https://www.tokoha-u.ac.jp/media/KIDS_event2021.pdf,,,,,不明,一部要,,常葉大学社会貢献・ボランティアセンター ,huvoc@hm.tokoha-u.ac.jp,053-428-3532,https://www.tokoha-u.ac.jp/info/210730/,,,,,,,,,,,,,,recognize
2021080200058 ,*ママゼミ*　子どもの自立心と親のじぶん時間を大切にした家づくり,,SBSマイホームセンター浜松展示場（南区青屋町400）,学ぶ,2021/8/16,,,,,,,,,,10:00〜11:30,"子どもの自立心と親のじぶん時間を大切にした家づくり

新しい家を建てる時の間取りづくり、どんなところを気にしていますか？
家事動線に無駄がないか、明るさは取れるか、風通しはいいか、等いろいろと考えること、ありますよね。

小さなお子さんがいらっしゃる家庭で忘れてはいけないのが、家族のコミュニケーションのデザイン。間取りの取り方によって、家族のコミュニケーションのあり方も大きく変わってきます。家族みんなが仲良く暮らしながら、親も子どもも自立して自分の時間を大切にしたいと考える方は少なくないんじゃないでしょうか？

実際にどうしたらいいかは、経験者に聞くのが一番、ということで、経験豊富なママから、子育て目線での家づくりについてご紹介します。
誰でもすぐに家でできる、ちょっとしたコミュニケーションツールや収納などのアイデアもたくさんお伝えしますよ！",https://mamazemi.com/zemi/detail/350,,参加無料,あり 見守り託児/ 定員3名,6名,要,,,SBSプロモーション,mamazemi@sbs-promotion.co.jp,053-456-3150,https://mamazemi.com/,,,,,,,,,,,,,,recognize
2021070200112 ,【下書き】県民の日事業　イオンモール浜松市野　天竜の森,,イオンモール浜松市野,学ぶ,2021/8/17,2021/8/23,,,,,,,,,10：00～21：00,天竜杉の特徴や身近な商品紹介、森林の自然環境の保全に向けた活動のご案内、ワークショップやクイズラリーなど。,https://www.aeon.jp/sc/hamamatsuichino/event/,,,,,不要,,,イオンモール浜松市野,,053-468-1880,,"http://www.pref.shizuoka.jp/kikaku/ki-110/r1kennminnohi_panf_hamamatsu_higashi.html
HP更新待ち　　商業施設のため【県民の日事業】入力・URLは登録省略（7/2國井）",,,,,,,,,,,,,draft
2021073000283 ,【下書き】大学生企画運営による市民講座「保育者にもできる早期英語教育の役割とは」,,,講演・シンポジウム,2021/8/18,,,,,,,,,,,詳細待ち,https://www.tokoha-u.ac.jp/info/210720-2/,,,,,不明,,,,,,,,,,,,,,,,,,,,draft
2021071600263 ,【下書き】【10月19日まで】バイクのふるさと浜松2021　オンライン,オンライン,,遊ぶ,2021/8/19,,2021/10/19,,,,,,,,,詳細待ち,https://bike-furusato.net/event/,,,,,不明,,,バイクのふるさと浜松実行委員会,,053-457-2319,https://bike-furusato.net/,"https://www.city.hamamatsu.shizuoka.jp/sangyoshinko/event/2021070436.html
詳細待ち（7/16國井）",,,,,,,,,,,,,draft
2021073000184 ,県民の日事業　県工業技術研究所・工業技術支援センターフェア　施設見学,オンライン,,学ぶ,2021/8/20,,,,,,,,,,10：00～15：00のうち、1～2時間（予定）,"☆浜松工業技術支援センターオンライン施設公開
浜松工業技術支援センターの仕事に興味がある児童や生徒、学生に向けた日常業務等の紹介や、企業等に向けた利用案内を目的とした、利用者目線のライブ配信により体験してもらうオンライン見学。

",https://www.iri.pref.shizuoka.jp/seminar/event/2603.html,どなたでも,,,,不要,当日朝にURL・パスワードを公開します。,,静岡県工業技術研究所,,054-278-3028,https://www.iri.pref.shizuoka.jp/,http://www.pref.shizuoka.jp/kikaku/ki-110/r1kennminnohi_panf_kakuchi.html,,,,,,,,,,,,,recognize
2021070200105 ,【下書き】展示ストーリー特別解説,浜松科学館 みらいーら,,学ぶ,2021/8/21,,,,,,,,,,1日4回実施予定。詳細はウェブサイトをご確認ください。,地域の風土や産業史に絡めた浜松特有の展示ストーリーについて、職員が当日限定の特別解説を行います。,,,【常設展入場料】大人600円、高校生300円、中学生以下無料,,,不要,,浜松科学館 みらいーら,,,053-454-0178,https://www.mirai-ra.jp/,"http://www.pref.shizuoka.jp/kikaku/ki-110/r1kennminnohi_panf_hamamatsu_naka.html
HP更新待ち（7/2國井）",,,,,,,,,,,,,draft
2021070200372 ,県民の日事業　しまはくへ行こう！！無料開放日＆ナイトミュージアム,,島田市博物館、川越し街道,"遊ぶ
複合",2021/8/22,,,,,,,,,,9：00～20：00（最終入館：19：30）,"島田市博物館本館・分館、川越し街道で大人から子どもまで楽しめるイベントを開催します。

（本館）謎解きゲーム、「収蔵品展」御朱印配布、図録セールなど

（分館）かんたん工作「分館におばけがいっぱい」、「登録有形文化財建造物」御朱印配布など

（川越し街道）スーパーボールすくい、ヨーヨーつりなどを実施するほか、夜間灯ろうで照らし、幻想的な空間を演出します。（灯ろうは雨天中止）
ぜひ、浴衣でお越しください。


※詳細はHPにてご確認ください。",https://www.city.shimada.shizuoka.jp/shimahaku/docs/338055078.html,,,,,不明,一部要,,島田市博物館,,0547-37-1000,https://www.city.shimada.shizuoka.jp/shimahaku/,"http://www.pref.shizuoka.jp/kikaku/ki-110/r1kennminnohi_panf_shimada.html
HP更新待ち（7/2國井）→更新（7/30國井）",,,,,,,,,,,,,recognize
2021080200119 ,龍の水辺芸術祭 2021,オンライン,＜現地鑑賞＞龍山森林文化会館　ロビー,文化芸術,2021/8/22,,,,,,,,,,13：00～16：00（開場30分前）,"音で奏でる、天竜の風景と伝統文化

大河・天竜川の移りゆく四季の風景と、そこに紡がれてきたものがたり。
龍の水辺　芸術祭　2021は、「ひかりでつなぐ天竜川」をテーマに、天竜の風景と伝統文化を伝える会として、夏の天竜川を背中に開催、インターネットでの生配信も予定しています。",https://www.hcf.or.jp/calendar/detail.php?id=25014,,"一般　1,000円
※現地鑑賞のみ有料、動画配信視聴無料",,＜会場参加＞50名,要,,,天竜四季の森×さくま若者サミット（NPOほっとたつやま事務局内）,info@tenryu-symphony.com,053-968-0360,https://www.facebook.com/tenryu.symphony/,http://tenryu-daisuki.com/,,,,,,,,,,,,,recognize
2021071600324 ,綿の産地フェア・はままつ染め織りマーケット,,産業展示館（東区流通元町20-2　第3展示場）,"文化芸術
その他",2021/8/28,,,,,,,,,,10：00～16：00,遠州織物の生地や製品の販売、注染染めの実演・体験等,,,,,,不明,,,静岡県繊維協会,,053-456-7222,https://www.senikyoukai-shizuoka.com/,"https://www.city.hamamatsu.shizuoka.jp/sangyoshinko/event/2021070435.html
詳細待ち（7/16國井）",,,,,,,,,,,,,draft
2021062000010 ,中田島ナイトフェスタ2021,,浜松まつり会館（南区中田島町1313）,"遊ぶ
複合",2021/8/28,,,,,,,,,,15：00～20：00,"南区・浜松公園緑地協会と合同で中田島ナイトフェスタ2021を開催します。
当日はすべてのお客様が入場無料となります。当館では光る金魚やびっくりボールすくいやクラフトコーナーを館内にて開催（有料）。また凧の絵付け（500円）も実施します。屋外では南区地域力向上事業で移動動物園・天文教室・テント設営体験なども開催予定です。当日はコロナ対策として検温・手指の消毒をお願いします。（検温終了時にリストバンドの装着）イベントの参加にはリストバンドの装着者のみが参加できます。",https://matsuri.entetsuassist-dms.com/news/detail/200,,"凧作り教室(絵付け）は500円。
金魚すくい・クラフトは100円の予定。
移動動物園・テント設営体験・天文教室は無料。
芝生広場ではスポーツイベントも予定しています(無料）",,,不要,,,浜松まつり会館,,053-441-6211,https://matsuri.entetsuassist-dms.com/,イベントURL現時点なし（6/20國井）イベントURL入力（7/30國井）,,,,,,,,,,,,,recognize
2021073100020 ,*ママゼミ*　ゴミ収集　ラッピング企画 第3弾！！,,赤堀産業株式会社　BOTANICAL STUDIO ヒトとキ （東区有玉台1丁目9番11号）,作る,2021/8/31,,,,,,,,,,10:00〜11:30,"ゴミ収集　ラッピング企画 第３弾！！

ごみ収集車にラッピングする絵を一緒に作ってみませんか？

筆や手足を使って、パーツを自由に塗っていただきますので、小さなお子様でも楽しくご参加いただけます。

完成した絵は当社のごみ収集車にラッピングされて、街を走ります。
ぜひご参加ください。",https://mamazemi.com/zemi/detail/348,,参加無料,なし 　親子で参加いただけます,6名,要,,,（株）ミダック,mamazemi@midac.jp,053-471-9380,https://mamazemi.com/,,,,,,,,,,,,,,recognize
2021070700414 ,【下書き】親子でおやつ　もくもく蒸しパン～プレーン～,浜松こども館,7階　おやつ工房,"作る
食べる",2021/9/1,,,,,,,,,,11:00～11:45,親子で「もくもく蒸しパン～プレーン～」を作ります。,https://kodomokan.entetsuassist-dms.com/event/detail/818,2～3歳児とその保護者,"1組100円
※入館料：大人200円／小・中・高校生100円／就学前児童無料（保護者同伴）",,8組,要,【事前電話予約】8月18日(水)10:00～　　先着順,浜松こども館,,,053-450-9111,https://kodomokan.entetsuassist-dms.com/,,,,,,,,,,,,,,draft
2021073100044 ,スポーツ教室　産後ママのスッキリエクササイズ教室,,舞阪総合体育館 卓球室（西区舞阪町舞阪2623-32）,スポーツ,2021/9/1,,,,,,,,,,10:15～11:30　10月20日までの水曜日（全8回）,"エアロビクスを中心とした、産後のお母さんのためのエクササイズ！
エアロビクスを中心としたエクササイズ、産後マイナートラブルの改善
",https://hamamatsu-sports.or.jp/classes/maisaka-sango-exercise/,産後1ヶ月以上のお子さんとお母さん,"4,400円",,20組,要,,,舞阪総合体育館（舞童夢）,,053-597-2800,https://www.yuto-maisaka-sports.com/maisaka/,,,,,,,,,,,,,,recognize
2021071700031 ,キッズ陸上短期教室,,"雄踏総合体育館（西区雄踏町宇布見9981-1）
",スポーツ,2021/9/3,,,,,,,,,,18：10～18：55　10月29日までの金曜日（全8回）,"走る楽しさ、走る喜びを一緒に見つけよう！！
かけっこのコツからランニング技術の習得まで、「走ること」の基礎の基礎を学ぶ新規の教室です(〃＾∇＾)
",https://hamamatsu-sports.or.jp/classes/yuto-kids-athletics-short/,"小学1～6年生

","8,800円（全8回）
",,"30名
",要,,,雄踏総合体育館（浜松市スポーツ協会）,yuto@hamamatsu-sports.or.jp,053-597-3500,https://www.yuto-maisaka-sports.com/,■定員　主催者へ確認中（7/17國井）30名にて登録（7/29國井）,,,,,,,0903.pdf,/var/share/joruri/upload/cms/embedded_files/00/00/31/94/00003194/0003194.dat,,,,,recognize
2021031800061 ,幼児期に活かす！運動を育むための親子あそび,浜松市子育て情報センター,所在地：中区中央三丁目4番18号,"学ぶ
交流",2021/9/4,,,,,,,,,,10：00～12：00,"１）遊びの意味を学ぶ（講話）
　　※子どもの運動の発達について、親の悩みを共有する。
２）親子で家でもできる遊び（実践）
",https://www.hamamatsu-pippi.net/docs/2019052000034/,"・妊婦から概ね2歳くらいまでの子どもをもつ父親・母親
・概ね2歳くらいまでの子どもの発達が気になっている父親・母親
",ひと家族300円,要申込。15名程度。無料。,15組,要,"浜松市子育て情報サイトぴっぴから、または、電話（053-457-3415　受付は、月～土曜日、9：00～17：00）にて、お申込みください。
締切は、8月25日(水）。",浜松市子育て情報センター,,pippi@hamamatsu-pippi.net,053-457-3415,https://www.hamamatsu-pippi.net/,,,,,,,,,,,,,,draft
2021073000160 ,パパ・ママ絵本講座（可新図書館）,,可新図書館,学ぶ,2021/9/5,,2021/9/12,,2021/9/19,,,,,,午前10時～11時30分,"子どもの「こころ」と「ことば」が豊かに育つためには、身近な大人からのあたたかな語りかけが必要です。
絵本を読んであげることや、わらべうたをうたいながらのスキンシップは、大切な語りかけのひとつ。
大人にとっても、子どもの愛しさを実感できる楽しいひとときです。
どうぞ日々の暮らしの中に、親子でゆったりと絵本やわらべうたを楽しむ時間を取り入れてください。

この講座では、おすすめの絵本や昔ながらのわらべうたをご紹介しながら、すぐれた絵本の持つ力やわらべうたの楽しさをお伝えします。

※希望の回を受講できます。
※3回通して参加すると、より絵本の楽しさを知っていただけます。",https://www.lib-city-hamamatsu.jp/access/kasinn/event/pdf/papamama_2021_02.pdf,平成31年4月1日～令和2年3月31日生まれの子と保護者,無料,なし,各10組(先着順),要,,,"浜松市立中央図書館
",chuo@city.hamamatsu.shizuoka.jp,053-456-0234,https://www.lib-city-hamamatsu.jp/access/kasinn/event/kashin_event_papamama2021.html,,,,,,,,papamama_2021_02.pdf,/var/share/joruri/upload/cms/embedded_files/00/00/31/97/00003197/0003197.dat,,,,,recognize
2021073100068 ,浜松球場ナイトヨガ,,浜松球場 外野芝生,スポーツ,2021/9/8,,2021/9/29,,2021/10/20,,,,,,19:15～20:30,"野球場のきれいな芝生と開放的な空間でヨガを楽しもう！

雨天やグラウンド不良等で開催できない場合、予備日に順延となります。
予備日も雨天等で開催できない場合は、中止となります。
【予備日】
1st. 9月15日(水)
2nd. 10月6日(水)
3rd. 10月27日(水)",https://hamamatsu-sports.or.jp/classes/yotsuike-night-yoga/,"小学生～一般成人
※小学生、中学生は、保護者同伴でご参加ください",各600円,,各100名,不明,,,"四ツ池公園 浜松球場
",,053-473-3281,,,,,,,,,,,,,,,recognize
2021071600195 ,"【下書き】ネイチャークラフト教室
",,"県立森林公園　バードピア浜北 作業室
",作る,2021/9/12,,,,,,,,,,"13：00～15：00　※最終受付14：30
","自然素材を使ったクラフト体験を森林公園ボランティアの会のメンバーと一緒に楽しみませんか？
9月のテーマは「木の実のモビール」です。
※タイトル・内容は予告なく変更になる場合があります
",https://kenritsu-shinrinkouen.jp/events/event/ネイチャークラフト体験/,"どなたでも
","1作品100円
",,"1回30分 各回4組
※材料がなくなり次第終了します。

",不要,,,"県立森林公園ビジターセンター バードピア浜北
",,053-583-0443,https://kenritsu-shinrinkouen.jp/,9月開催分はイベントURLができてから登録予定です。（7/16國井）,IMGP3735.JPG,/var/share/joruri/upload/cms/embedded_files/00/00/31/87/00003187/0003187.dat,,,,,,,,,,,draft
2021072600026 ,【下書き】浜松市フードパントリー緊急支援事業　子育て世代向け！食品配布会（長上協働センター）,,長上協働センター（東区市野町）,その他,2021/9/12,,,,,,,,,,,"食料支援が必要な子育て世代に、食品をお渡しします。
ひとり親でも、ふたり親でもご利用頂けます。
密を避けるため、事前予約とし、細かく配布時間を区切らせていただきます。",https://www.city.hamamatsu.shizuoka.jp/kosodate/20210702.html,"浜松市在住で、ひとり親家庭など経済的事情により支援が必要な子育て家庭
※新型コロナウイルス感染症の影響を受けて就労環境が悪化するなど、経済的に困窮していれば、ふたり親家庭も利用できます。",無料,,,要,,,特定非営利活動法人サステナブルネット,,,,詳細待ち（7/26國井）,,,,,,,,,,,,,draft
