ページタイプ,施設名称,カナ,top画像,区,地区,郵便番号,所在地,緯度,経度,電話,URL,休館日,開館時間,料金,アクセス,駐車場,市区町村コード,NO,施設概要,おすすめ１タイトル,おすすめ１画像,おすすめ１説明,おすすめ２タイトル,おすすめ２画像,おすすめ２説明,おすすめ３タイトル,おすすめ３画像,おすすめ３説明,子連れ便利度補足,取材ママ（パパ）のアドバイス,おすすめ1 ターゲット[赤ちゃん],おすすめ1 ターゲット[幼児],おすすめ1 ターゲット[小学生],おすすめ2 ターゲット[赤ちゃん],おすすめ2 ターゲット[幼児],おすすめ2 ターゲット[小学生],おすすめ3 ターゲット[赤ちゃん],おすすめ3 ターゲット[幼児],おすすめ3 ターゲット[小学生],子連れに便利な施設[授乳室],子連れに便利な施設[オムツ交換台],子連れに便利な施設[ベビーカーOK],子連れに便利な施設[託児サービス],子連れに便利な施設[飲食持参OK],子連れに便利な施設[自販機・売店],子連れに便利な施設[レストラン],調査日：,取材：,joruri_id,joruri_url
既定のフォーム（追加）,クリエート浜松,クリエートハママツ,,中区,アクト,4300916,浜松市中区早馬町2-1,34.7105,137.7338,053-453-5311,https://www.hcf.or.jp/facilities/create/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opendata:4,
既定のフォーム（追加）,天竜壬生ホール,テンリュウミブホール,,天竜区,天竜,4313314,浜松市天竜区二俣町二俣20-2,34.8587,137.8159,053-922-3301,https://www.hcf.or.jp/facilities/mibu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opendata:5,
既定のフォーム（追加）,なゆた・浜北,ナユタ・ハマキタ,,浜北区,北浜,4340038,浜松市浜北区貴布祢3000,34.7916,137.7833,053-586-6200,https://www.nayuta-hamakita.jp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opendata:6,
既定のフォーム（追加）,浜松城,ハママツジョウ,,中区,中央,4300946,浜松市中区元城町100-2,34.7118,137.7249,053-453-3872,https://www.entetsuassist-dms.com/hamamatsu-jyo/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opendata:7,
既定のフォーム（追加）,浜松まつり会館,ハママツマツリカイカン,,南区,白脇,4300845,浜松市南区中田島町1313,34.6658,137.7423,053-441-6211,https://matsuri.entetsuassist-dms.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opendata:8,
既定のフォーム（追加）,雄踏文化センター（雄踏協働センター）,ユウトウブンカセンター（ユウトウキョウドウセンター）,,西区,雄踏,4310102,浜松市西区雄踏町宇布見5427,34.7017,137.6345,053-596-1100,https://www.birukan.jp/yutobunka/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opendata:9,
施設特別バージョン,航空自衛隊浜松広報館エアーパーク,コウクウジエイタイハママツコウホウエアーパーク,airpark_top.jpg,西区,神久呂,4328551,浜松市西区西山町無番地,34.7474,137.7121,053-472-1121,https://www.mod.go.jp/asdf/airpark/index.html,毎週月曜日（祝日又は国民の休日の場合はその翌日）・毎月最終火曜日（館内整備）・3月第2週の火曜日～木曜日（総合整備）・年末年始,午前9時～午後4時　（入館は午後3時30分までです）,無料,"＜公共交通機関＞
JR浜松駅北口　バスターミナル14番線「51 せいれい浜松 泉 高丘行き」乗車（約20分）→「泉四丁目」下車徒歩約10分
＜自家用車＞
東名高速道路浜松西インターより約10分",一般乗用車　約146台　（無料）　大型バス　17台　（無料）,,,"浜松基地内にある、全国でも珍しい航空自衛隊のテーマパークです。戦闘機や対空機関砲、航空機の模型や装備品の展示、シュミレーターなどがあり、特に男の子に大人気の施設です。
夏には、実際使われている練習機が広報館の正面にある地区で発着訓練を行い、間近で点検から発着をみることができるそうです。その他にも、浜松気象隊の隊員による初心者向けの気象講座や、航空自衛隊機の写真入り缶バッチを製作し、身に付けることができる缶バッチ製作体験、基地で使用している珍しい車両の展示などのイベントもあります。",展示格納庫,airpark_point1.jpg,"展示格納庫には、航空自衛隊が使用した航空機を中心に19機の航空機が展示されています。
フライトスーツの試着もできるので、沢山ある飛行機に乗って記念写真してはどうでしょう。
また、フライトシュミレーターでは、実物の電動の航空機に乗り、パイロット気分が味わえます。男の子なら一度はパイロットに憧れるはず！身長制限などがありますが、乗れる年齢でしたら是非おすすめです。",全天周シアター,airpark_point2.jpg,球体型のスクリーンに、航空自衛隊の活動が映し出され、迫力のある映像には、子供から大人まで圧倒されます。鑑賞には、入場整理券が必要となります。上映時間は約15分（上映時間の一時間前、9：30からの上映については9：00から整理券配布）,バーチャル防空管制指令室,airpark_point3.jpg,航空自衛隊が普段行っている活動の一端を垣間見ることができます。領空内に不信な物が入ってきた場合に、実際に自衛隊の方々がどのような活動をしているのかが映像により鮮明にわかります。,"
ベビーカー

ベビーカー利用可能。スロープやエレベーターが完備されており、ベビーカーの移動も便利です。

授乳室・トイレ

女性用トイレにおむつ替えシート有り。

食事

飲食店：3Ｆに喫茶コーナーがあり軽食やデザートなどがあります。
自動販売機は、駐車場横のスペースにあります。
館内は食べ物、飲み物の持ち込みできませんので、お弁当を食べる場合は、屋外の屋根付きの休憩所を利用します。遊具があり、晴れた日にはおすすめです。
売店：自衛隊関連グッズが売っています。炎の大作戦というお饅頭には、激辛のものが含まれており、ロシアンルーレット的に楽しめます。お子様には、操縦席などの音がするプルバックがお勧めです。",一日過ごす場合のおすすめスケジュールは、お弁当を持参して、全天周シアターの入場整理券を受け取り、展示資料館を回り、全天周シアターを見て、展示格納庫で沢山の航空機を見るという順番です。展示資料館には、簡易シュミレーターもあり、実際訓練しているジェット・パイロット学生と同じ飛行コースを体験できるものもあるので、こちらもお勧めです。以前は、浜松といえば『ブルーインパルス』でしたが、このブルーインパルスに関しても展示資料館2Ｆのコーナーと展示格納庫に展示があります。オリンピックなどに行った５輪のマークのショーの写真も展示してありますよ。パイロットスーツを試着して、沢山ある飛行機に乗るのもこちらにきたよい記念になるのではないでしょうか？,1,1,1,,1,1,,1,1,,1,1,,,1,,2011年4月,つくMom,1096,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2014021912400/
施設特別バージョン,浜名湖体験学習施設ウォット,ハマナコタイケンガタガクシュウシセツウォット,wotto_top.jpg,西区,舞阪,4310214,浜松市西区舞阪町弁天島5005-3,34.6975,137.6058,053-592-2880,https://ulotto.entetsuassist-dms.com/,"毎週月曜日(祝日の場合は翌日)
年末年始(12月30日から1月1日)",午前9時から午後4時30分 (入館は午後4時まで),大人320円、高校生以下・高齢者(70歳以上)・障害のある方と介護者は無料(要証明)　団体割引あり,"＜公共交通機関＞
ＪＲ東海道線弁天島駅から北へ歩いて15分
＜自家用車＞
国道1号線新弁天交差点を北に約5分",浜松市営渚園駐車場が利用できます 1台400円,,,浜名湖は淡水と海水が混じりあう”汽水湖”という大変珍しい湖で、魚の種類も多く豊かな自然にめぐまれています。 「ウォット」は、浜名湖の自然や生き物と直接ふれあい、感じることができる体験学習施設です。 小さい子どもはミニ水族館としても楽しめます。,大水槽での「水中ＴＶトーキング」,wotto_point1.jpg,天井まで曲線をえがくような形の、120トン深さ5メートルの大水槽では、毎週日曜日と祝日の13時45分から約20分間、「水中ＴＶトーキング」が開催されています。 大水槽の中のダイバーとお話ができ、エサをあげている様子を見ることができます。 また、ダイバーから見た様子もモニターで見ることができます。,体験教室,wotto_point2.jpg,毎月開催されている体験教室では、水族館の裏側体験ツアー、家庭用の水槽でミニ水族館作り、海の生き物の観察会、貝殻を使ったクラフト会など、人気のイベントが行われていて、海や魚たちを身近に感じることができます。参加費は無料ですが、ホームページからの事前予約が必要です。 小学生以下のお子さんは保護者と一緒に参加できますが、内容によっては小学生以上の参加になりますので、お問い合わせください。,迫力満点！レイクシアター,wotto_point3.jpg,150インチの大スクリーンのミニシアターで、浜名湖の自然と人々の営みを紹介する4本のオリジナル映画が上映されています。 浜名湖に住んでいる生き物の紹介や、魚たちの海中生活の珍しいシーン、遠州灘のトラフグの栽培漁業の紹介、浜名湖が現在の形になるまでの変還など、内容はさまざまです。子どもだけでなく、大人も楽しめる内容になっています。 無料です。,"
ベビーカー

ベビーカー利用可　無料レンタルもあり(バギー2台)
エレベーターで移動可能　バリアフリーなので、館内も移動しやすい

授乳室・トイレ

館内1階にトイレあり 障害者用のトイレ・おむつ替えシートあり
授乳室はありませんが、申し出があれば、スタッフの休憩室を貸してくれるそうです。

食事

館内、および中庭、展望デッキ、休憩コーナーも飲食禁止です。
施設の外に飲み物の自動販売機があります 。","浜名湖を身近に感じることの出来る施設です。浜名湖や、都田川に生息する代表的な生き物を観察することができます。 迫力満点の大水槽、実際に生き物に触ることができるタッチプール、熱帯魚の水槽に手を入れられるふれあい水槽は、子どもが大興奮していました。 ただ、小さい子どもだとタッチプールへの転落の危険がありますので、注意が必要です。 手を洗う場所も用意されていました。
小学生ぐらいになると、浜名湖の生き物についてのクイズコーナーや、魚のシルエットのパズルなども利用できます。順番を守って利用しましょう。
天気のいい日には中庭や、展望デッキに出られます。こちらからは、水産技術研究所の様子も見ることができます。
施設内は屋外でも飲食は禁止ですので、お弁当を食べたりする場合は、隣接する渚園の芝生広場を利用するといいでしょう。",1,1,1,,1,1,,1,1,,1,1,,,,,2011年3月,ナデシコ,1099,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2014021912431/
施設特別バージョン,浜松科学館,ハママツカガクカン,kagakukan_top.png,中区,駅南,4300923,浜松市中区北寺島町256-3,34.705,137.7399,053-454-0178,https://www.lib-city-hamamatsu.jp/access/johoku/index.html,"月曜日（祝日の場合は開館）・年末年始ほか
春季・夏季・冬季休暇期間は月曜日も開館","午前9時30分～午後5時（入場は午後4時30分まで）
夏季の一部の期間は9時30分～午後6時（入場は午後5時30分まで）","常設展入場料　大人600円 	中人（高校生） 300円	小人（中学生以下）無料
プラネタリウム・大型映像の観覧は別途料金が必要
サイエンスパーク・自然観察園は無料",JR浜松駅より徒歩7分,"無
提携駐車場の割引サービスあり",,,"2019年7月、浜松科学館が「みらいーら」の愛称と共にリニューアルオープン。
「自ら考え、対話し、行動する【科学×挑戦】の活動拠点」をコンセプトに、実際に触ったり動かしたりすることで新しい発見ができる仕組みが数多く取り入れられています。地元企業や大学の技術を体験できるブースもあり、「ものづくりのまち浜松」ならではの展示も見どころです。
近未来に足を踏み入れたような不思議な空間に、大人もワクワクとした時間が過ごせます。",乳幼児も楽しめる「キッズサイエンスランド」,kagakukan_point1.jpg,休憩スペースも併設しているキッズサイエンスランドは、ゆったりとくつろぎながら乳幼児と一緒に楽しめるコーナーです。カラフルな室内は、ボールを転がす仕掛けや絵本が設置され、自然と科学の第一歩を踏み出せそう。授乳スペースもあるため、親子でのんびりと過ごせる空間です。,触って動いて楽しめる展示が充実！,kagakukan_point2.jpg,「自然」「音」「光」「力」「宇宙」のゾーンに分かれた展示コーナーには、子どもの興味を引き出す仕掛けが数え切れないほどあります。スタッフが毎日実施するサイエンスショーや、週末に実施されるイベントや教室も見逃せません。,遊具やライブラリーがうれしい無料ゾーン,kagakukan_point3.jpg,屋外のサイエンスパークと1階フロアの一部は無料で利用できます。ミュージアムショップやライブラリーカフェも併設され、本が好きな子はここで科学の本を楽しむのもOK。お散歩気分で気軽に立ち寄ることができるので、幅広い年齢でそれぞれの過ごし方ができます。,"ベビーカー

スロープあり
ベビーカーの貸出はありません。

授乳室・トイレ

授乳室あり、多目的トイレあり（ベビーシート付き）

食事

自動販売機、カフェ併設の休憩所（離乳食以外の食べ物の持ち込み不可）",触ったり動かしたりできる展示がたくさんあるので、体験できる年齢なら時間に余裕を持ってゆっくり巡る計画を立てるのがおすすめです。音や光など、さまざまな反応をする仕掛けに子どもたちも興味津々。3階までの館内展示に加え、屋外にはキッズ用アスレチックもあり、1日いても飽きることはありません。気に入ったところは、何度も挑戦したくなるはずです。各展示にていねいな案内がありますが、手順がわからないものは、スタッフに聞けば操作や原理を教えてくれます。使ったものは元の場所に戻すなど、ルールを守って楽しみましょう。,1,1,,,1,1,,1,1,1,1,1,,,1,1,2019年7月,makiko,1093,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2014021912370/
施設特別バージョン,浜松こども館,ハママツコドモカン,kodomokan_top.png,中区,中央,4300933,浜松市中区鍛冶町100-1 ザザシティ浜松中央館6・7階,34.7051,137.7303,053-450-9111,https://kodomokan.entetsuassist-dms.com/,年末年始（12/29～1/1)　※臨時休館あり,"平日午前10時～午後5時
土日祝午前10時～午後6時","大人200円、小・中・高校生100円、就学前児童無料
（就学前児童は保護者同伴）","＜公共交通機関＞
浜松駅から徒歩15分程度
＜自家用車＞
名古屋方面から→東名浜松西ICから40分程度 東京方面から→東名浜松ICから30分程度","Ｐクーポン契約駐車場を利用した場合、200円分のクーポンを発行
特別提携駐車場（5か所）が最大5時間利用できる駐車サービス券を500円で販売（Ｐクーポンのサービスと併用可）",,,2021年4月にリニューアルオープンした浜松こども館。「はままつまるごと大冒険」をテーマに、浜松の特色や産業を取り入れた5つのテーマに沿った遊具が新設されました。乳幼児とゆっくり過ごせるゾーンや小学生がアクティブに体を動かせるゾーンなど、遊具や設備がさまざまな年齢層に対応しているのがこども館の魅力です。FSC認証を受けた天竜材をふんだんに使った館内は、屋内ながら浜松の自然を感じることができます。,はいはい・あんよコーナー,kodomokan_point1.jpg,"“おうちゾーン”の中央には、鳥や木の葉のモチーフが目を引く木製遊具があります。
ネットを通った先にある小さなおうちは、子どもの大好きな秘密基地のようなスペース。木や石、ロープなどを触ってさまざまな感触を楽しむことができます。",浜松ドライブ,kodomokan_point2.jpg,"“まちゾーン”のドライブカーは、ハンドルを動かすだけで前進・後退・方向転換する新鮮な感覚が楽しめます。
コースに浜松の街並みが描かれているのもポイント。体全体を使うので、バランス感覚や体幹が鍛えられそうです。", トランポリン,kodomokan_point3.jpg,"“そらゾーン”のトランポリンは、ネットに囲まれた特別な空間です。
天井には宇宙のイラストが描かれ、ジャンプすると「そら」に近づくことができます。初めての子でも安心してチャレンジできるトランポリンです。","ベビーカー

ベビーカーで入場可能です。
乳幼児広場等、ベビーカーで入ることができないコーナーを利用する際は、所定の位置におきます。

授乳室・トイレ

授乳室、親子トイレが6階にあります。
オムツ替えシートもあります。

食事

飲食コーナーで可能です。
アイス、飲み物の自動販売機があります。

託児サービス

7階に託児室があります。こども館利用時のほか、買い物・映画・食事などでリフレッシュしたい時にも利用できます。
（最高3時間まで 1時間につき600円 要予約）
※利用方法は 浜松こども館 託児室のご案内外部サイトをご覧ください。",広々としていてダイナミックな遊びができるため、パパと一緒に遊びに来ている子が多いと感じます。遊びのサポートをしてくれる施設スタッフやボランティアさんの存在が心強いです。「お父さんと遊ぼう」のようなイベント開催もあり、子どもとの遊びには困りません。休憩スペースが充実していて、ジュースやアイスの自動販売機も設置されています。街中ですが、ゆっくりお弁当を食べることができるのがうれしいですね。一番良いと感じるのは、屋外での遊びに比べると危険が少ないということです。日ごろから子どもの成長を知って、できることをしっかり把握していないと、思わぬ事故につながることがあります。普段子どもと遊ぶ時間の少ないパパは、こども館で遊びながら子どもの成長を知ることから始めるといいかもしれませんね。,1,1,,,1,1,,1,1,1,1,1,1,1,1,,2021年4月,まっち,1092,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2014021912363/
施設特別バージョン,浜松市楽器博物館,ハママツシガッキハクブツカン,gakkihakubutsukan_top.jpg,中区,アクト,4307790,浜松市中区中央三丁目9-1,34.7066,137.7386,053-451-1128,https://www.gakkihaku.jp/,"毎月第2、第4水曜日(祝日の時は翌日。8月は無休)
施設点検日、年末年始、その他臨時休館があります。",午前9時30分から午後5時まで,"常設展入館料（特別展開催時は別途特別展観覧券が必要な場合もあります）
大人(大学生以上)800円
中人(高校生)400円
中学生以下、高齢者（70歳以上）、障害手帳所持者（介助者が必要な場合は、介助者１名を含む）の常設展観覧料は無料です。","＜公共交通機関＞
JR浜松駅より徒歩10分
＜自家用車＞
東名浜松・浜松西ICより約30分",一般車の専用駐車場はありません。付近の有料駐車場をご利用下さい。,,,1995年に開館した、世界的にも大規模な、日本で唯一の公立楽器博物館です。世界の楽器を約3300点所蔵し、1500点を常設展示しています。『世界の楽器を偏りなく平等に展示して、楽器を通して人間の知恵と感性を探る』をコンセプトに、企画展示やレクチャーコンサート、視聴機器による音の紹介と解説、体験ルームでの演奏体験と、「みる・きく・ふれる」ことができる博物館です。,「みる」,gakkihakubutsukan_point1.png,"開館以来続く「ギャラリートーク」では、展示している楽器の一部をデモンストレーションしています。演奏をただ見るだけでなく、10～15分程度（毎日数回開催）で館内に展示されている世界各地の伝統楽器や歴史的な楽器について各回異なるテーマで分かりやすく教えてもらうことができます。
取り上げる楽器とスケジュールは、ホームページに掲載されていますので、ぜひチェックしてから展示物を見てください。",「きく」,gakkihakubutsukan_point2.png,展示室内には、スピーカーやモニターなどの視聴機器が多く付いており、楽器の音色や演奏風景を楽しむことができます。どんな音なのか？どんな人が演奏しているのか？楽器を通して文化に触れられると思います。,「ふれる」,gakkihakubutsukan_point3.png,1階奥の体験コーナーでは、国語の教科書に載っている「スーホの白い馬」で有名な「馬頭琴」や「電子ドラム」、「足踏みリードオルガン」、「ジェンベ」など世界のいろいろな楽器を実際に演奏することができます。親子でいろいろな音を出して楽しめそうですね。,"ベビーカー

玄関スロープ、エレベーターを設置
車椅子4台、ベビーカー6台を無料常置

授乳室・トイレ

トイレは1Fは受付前に、BFはエレベーター近くにあります。
授乳室はありませんが1Fはおむつ替えシート、BFトイレはベビーベットが置いてあり、おむつ替えはできます。
子供用トイレはありません。

食事

館内で食事はできません。併設でカフェ(ロロサードカフェ)があります。https://www.lo-company.jp/","楽器博物館では、ヨーロッパの楽器もアフリカの楽器も、多彩な表装がしてある楽器も、木をくり抜いた楽器も、みな同様のスタイルで展示されています。
展示物を見ながら、その国から楽器が生まれた背景や生活、音色や芸術的な色使いの素晴らしさを、親子で話すことができれば素敵ですね。
ただ、距離が近いだけに、幼児は触りたくなると思いますので、触っていいものか悪いものかなど、ルールを教えてあげるといいですね。
また浜松駅からも近く、音楽にまつわるグッズが揃うミュージアムショップもあるので、県外からお客様がきた際に、観光でこの博物館を利用するのも喜ばれそうです。",,1,1,,1,1,1,1,1,,1,1,,,,1,,ぺんぎん。,1095,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2014021912394/
施設特別バージョン,浜松市動物園,ハママツシドウブツエン,zoo_top.jpg,西区,庄内,4311209,浜松市西区舘山寺町199,34.7659,137.6339,053-487-1122,https://www.hamazoo.net/index.php,12月29日～12月31日,午前9時～午後4時30分（入園は午後4時まで）,"大人(高校生以上)410円、中学生以下無料 70歳以上の高齢者無料
※フラワーパーク共通券、団体割引、回数券、年間フリーパスがあります。","＜公共交通機関＞
浜松駅から「舘山寺温泉」行きバス約40分「動物園」下車
＜自家用車＞
浜松西ICから約15分、浜松ICから約50分",590台　1日200円,,,フラワーパークと隣接した、湖畔に広がる動物園。広い園内で世界中のさまざまな動物を見ることができます。 ゴールデンライオンタマリンは日本では浜松市動物園でしか見られません。23年3月にはホッキョクグマのキロルが仲間入り。毎日動物たちの食事タイムがあり、ナイトZOO（8月土曜日）など期間限定のイベントもあります。子どもたちに大人気で、何回でも訪れたい施設です。,小獣舎,zoo_point1.jpg,"レッサーパンダのチイタは、立つレッサーパンダで有名な風太の息子です。
ほかにミーアキャット、コツメカワウソがいてとてもかわいい姿を見ることができます。",ふれあい体験,zoo_point2.jpg,"動物ふれあい広場は子どもたちに大人気！ヤギやうさぎなどの動物にふれあえます。
怖がって近づかない子もいれば、興味津々で離れるのを嫌がる子と反応はさまざま。
エサやり体験をしたり、動物の食事タイムを見たりすると、動物がより身近に感じられますね。",顔出し看板,zoo_point3.jpg,"園内には10か所、動物にちなんだ手作りの顔出し看板があります。
子どもを立たせてパシャリ！かわいいこと間違いなし！
ぜひ全部みつけてみては！？","
ベビーカー

貸出しベビーカー１日100円。 スロープが設置されており、園内はほとんどベビーカーで移動できます。

授乳室・トイレ

授乳室：2か所（中獣舎、シロクマ売店の付近）中は広いです。
おむつ替えシート：5か所 子ども用トイレあり

食事

持ち込み可能で、休憩所や芝生の上で食べることができます。てんぼう広場が眺めも良くおすすめです。 飲料の自動販売機が園内各所にあり。
レストラン：1か所（カレーライス、お子様ランチなどがありセルフサービスです）
売店：3か所（中華まん、お菓子、アイスなど）
","園内は広いので一日楽しむことができます。傾斜があり、小さい子はずっと歩いていると疲れてしまうので、うまく休憩を取りながらのんびり回ると良いですねね。隣接するフラワーパークとの共通入場券を買うと、園内の連絡口から行き来ができ料金もお得になります。
動物園では、動物園の裏側を見たり、動物にえさをあげられたり、いろいろなイベントが実施されています。申し込みが必要なものもありますが、ぜひ一度は参加したいものばかり。各イベントの開催日や時間などをホームページや電話で事前に確認しておくとスムーズに回れますよ。よく動物園を訪れるのならば年間フリーパスを購入すると便利です。
動物以外にも桜や紅葉、どんぐりと、季節に応じた自然を楽しむこともできます。",1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,2011年3月,瑠璃ママ,1097,https://www.hamamatsu-pippi.net/tsunagaru/kokyo/2014021912417/
