ID,NAME,施設名,状態,公開画面URL,管理画面URL,更新日時,作成日時,大_区・地域,小_区・地域,大_分類,小_分類,イベントカレンダー,所在地_住所,所在地_緯度経度,電話,画像URL,サムネイル画像URL,ひと言,詳細ページのリンク先,URL,開催日,開催時間,園庭開放,駐車場
1337,2.01603E+12,なかざわこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2016032400068/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1337,2016/4/1 12:54,2016/3/24 12:04,中区,北,ひろば,親子ひろば,加えない,中沢町58-9,"34.722969,137.727925",053-471-0497,,,,,http://nakazawa.ed.jp/,月～金,9：00～10：00 ,月～金 9：00～10：00 ,10台
1338,2.01603E+12,みそらこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2016032400075/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1338,2017/4/1 16:34,2016/3/24 12:06,中区,江西,ひろば,親子ひろば,加えない,神田町513,"34.690774,137.718816",053-443-9836,,,,,http://misora-kodomoen.jp/,水,9：30～11：00,水 9：30～11：00,20台
1339,2.01603E+12,そらいろこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2016032400082/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1339,2018/4/2 16:32,2016/3/24 12:07,東区,長上,ひろば,親子ひろば,加えない,市野町1084,"34.751399,137.778885",053-581-8670,,,,,http://sorairo-ho.jp/,火・木,10：00～12：00,火・木,15台
1340,2.01603E+12,春日こども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2016032400099/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1340,2016/4/1 12:54,2016/3/24 12:11,西区,篠原,ひろば,親子ひろば,加えない,馬郡町2560,"34.683357,137.627933",053-592-1600,,,,,http://www.kasuga-kids.jp/,水,10：00～11：00,水,20台
1341,2.01603E+12,マーガレット保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2016032400105/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1341,2016/4/1 12:53,2016/3/24 14:09,西区,篠原,ひろば,親子ひろば,加えない,坪井町4571,"34.682408,137.64999",053-482-7078,,,,,,火,9：00～11：30,火,10台
1342,2.01603E+12,平和こども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2016032400112/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1342,2016/4/1 12:54,2016/3/24 14:11,南区,白脇,ひろば,親子ひろば,加えない,三島町1200,"34.68726,137.747542",053-443-1601,,,,,http://www.hhg-heiwa.jp/,水（原則）,9：30～11：30,水 9：30～11：30,20台
1343,2.01603E+12,はらっぱ保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2016032400129/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1343,2016/4/13 17:03,2016/3/24 14:13,北区,三方原,ひろば,親子ひろば,加えない,三幸町440-10,"34.804057,137.724555",053-482-9207,,,,,,火,9：30～11：30,土 9：30～11：30,あり
1344,2.01603E+12,遊歩の丘はまなこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2016032400136/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1344,2017/4/1 16:40,2016/3/24 14:15,浜北区,浜名,ひろば,親子ひろば,加えない,小松1285-1,"34.792602,137.771744",053-585-4141,,,,,,木,9：30～11：00,木　9：30～11：00,30台
1345,2.01603E+12,子育てセンターかきのみ,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2016032400167/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1345,2016/4/1 12:53,2016/3/24 14:18,浜北区,中瀬,ひろば,親子ひろば,加えない,中瀬2308,"34.830231,137.808881",053-545-3870,,,,,http://www.tenryu-kohseikai.or.jp/children/kakinomi/index.html,月～金,9：00～16：00,月～金 9：00～16：00,20台
1346,2.01603E+12,浜北西保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2016032400174/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1346,2016/4/1 12:53,2016/3/24 14:23,浜北区,麁玉,ひろば,親子ひろば,加えない,新原4284-1,"34.811355,137.765125",053-585-5590,,,,,http://www.higashihoikuen.jp/company1.html,水 または 木,10：00～11：00,水・土 9：30～16：00,30台
1403,2.01703E+12,聖隷こども園めぐみ,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2017033100094/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1403,2017/4/1 14:17,2017/3/31 11:30,中区,萩丘,ひろば,親子ひろば,加えない,和合町555-1,"34.742264,137.701493",053-401-1212,,,,,,毎月1回,10：00～11：30,月～金　9：30～11：30,あり
1404,2.01703E+12,太陽さぎのみやこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2017033100100/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1404,2017/4/1 13:42,2017/3/31 11:37,東区,積志,ひろば,親子ひろば,加えない,大瀬町752,"34.7606765,：137.7630729",053-432-5515,,,,,http://www.shafuku-wakabakai.or.jp/,木曜日,10：00～11：30,木　11：00～11：30,40台
1405,2.01703E+12,遊歩の丘かみにしこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2017033100117/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1405,2017/4/1 13:46,2017/3/31 11:38,東区,蒲,ひろば,親子ひろば,加えない,上西町853-2,"34.723422,137.759473"," 	053-468-1818",,,,,http://ufo.or.jp/,火曜日,9：30～11：00,火曜日,15台
1406,2.01703E+12,きなりこどもえん,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2017033100124/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1406,2017/4/1 14:18,2017/3/31 11:38,東区,蒲,ひろば,親子ひろば,加えない,植松町53-4,"34.7103805,137.7549205",053-424-6666,,,,,http://kinarikodomoen.com/,月1回　月曜日,10：00～10：40,月　10：00～11：30,10台
1407,2.01703E+12,若林こどもの園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2017033100131/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1407,2017/4/1 13:49,2017/3/31 11:40,南区,可美,ひろば,親子ひろば,加えない,若林町2658-1,"34.693721,137.701811",053-401-3786,,,,,http://waka-kodomo.jp/,火,9：30～11：00,あり,あり
1408,2.01703E+12,あゆみの森こども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2017033100148/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1408,2018/4/2 16:34,2017/3/31 11:41,浜北区,北浜,ひろば,親子ひろば,加えない,寺島2889-1,"34.786476,137.794276",053-585-2345,,,,,http://www.ikutokukai.ed.jp/,月1~2回,10：00～11：00,月～金　10：00～11：00,30台
1409,2.01703E+12,子育てセンターみゅうのおか,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2017033100155/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1409,2018/4/2 16:34,2017/3/31 11:42,浜北区,赤佐,ひろば,親子ひろば,加えない,根堅2596-1,"34.853051,137.8012",053-545-6380,,,,,http://www.tenryu-kohseikai.or.jp/children/mewnooka/index.html,月～金,9：00～16：00,月～金 9：00～16：00,15台
1414,2.01704E+12,相生こども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2017041700040/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1414,2017/4/17 9:51,2017/4/17 9:51,中区,江東,ひろば,親子ひろば,加えない,相生町14-30,"34.708299,137.748291",053-461-6519,,,,,http://aioigakuen.web.fc2.com/aioi/a_support.html,月1回 木曜日,10：00～11：00,毎週火曜日,あり
1517,2.01904E+12,伊左地保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2019042400035/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1517,2019/4/24 11:11,2019/4/24 11:11,西区,伊佐見,ひろば,親子ひろば,加えない,大人見町2966,"34.740198,137.662089",053-485-2700,,,,,http://www.isaji-hoikuen.com/,火曜日,10：00～11：30,10：00～11：30,15台
1453,2.01803E+12,さざんかこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2018032200402/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1453,2018/4/2 16:36,2018/3/22 10:12,西区,篠原,ひろば,親子ひろば,加えない,篠原町25654,"34.676315,137.658425",053-449-6116,,,,,http://hanazonokai.jimdo.com,金,9：30～11：30,金　9：30～10：30,20台
1450,2.01803E+12,ありたまこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2018032200372/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1450,2018/4/2 16:33,2018/3/22 10:05,東区,積志,ひろば,親子ひろば,加えない,有玉南町2013,"34.749553,137.746065",053-479-5588,,,,,https://aritama.com,火・木,9：30～11：30,園へお問い合わせください。,10台
1451,2.01803E+12,天竜こども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2018032200389/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1451,2018/4/2 16:36,2018/3/22 10:08,東区,和田,ひろば,親子ひろば,加えない,薬新町315-1,"34.722068,137.785911",053-421-5355,,,,,http://tenryukodomoen.com,水（月1回）,10：00～11：00,月～金　10：00～12：00,20台
1452,2.01803E+12,入野こども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2018032200396/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1452,2018/4/2 16:36,2018/3/22 10:10,西区,入野,ひろば,親子ひろば,加えない,入野町10827-1,"34.695980,137.673618",053-415-0800,,,,,http://www.irinokodomoen.or.jp,火・金,9：30～11：30,9：30～10：30,20台
1454,2.01803E+12,ひまわり第二保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2018032200426/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1454,2018/4/2 16:35,2018/3/22 10:15,北区,三方原,ひろば,親子ひろば,加えない,豊岡町474-1,"34.793627,137.716684",053-420-8000,,,,,,水,10：00～12：00,水　10：00～12：00,16台
1455,2.01803E+12,こども園みらい,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2018032200440/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1455,2019/3/30 11:28,2018/3/22 10:19,北区,三方原,ひろば,親子ひろば,加えない,三幸町159-1,"34.797079,137.714820",053-439-3060,,,,,http://kodomoenmirai.com/,第4水曜(第4以外の水曜に遊びの部屋開放),10：00～11：30,月～金,21台
1456,2.01803E+12,子育てセンターなかぜ,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2018032200457/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1456,2018/4/26 16:59,2018/3/22 10:21,浜北区,中瀬,ひろば,親子ひろば,加えない,中瀬673,"34.80966,137.806736",053-584-0174,,,,,http://www.tenryu-kohseikai.or.jp/children/c_nakazekko/index.html,月～金,9：30～12：00、13：00～15：30,月～金　9：30～12：00、13：00～15：30,16台
1457,2.01803E+12,こども園ことり,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2018032200464/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1457,2019/9/25 9:31,2018/3/22 10:23,浜北区,浜名,ひろば,親子ひろば,加えない,内野5221-5,"34.796822,137.742030",053-585-0260,,,,,http://nakazawa.ed.jp,火（月1～2回）,9：00～13：00,8：30～10：30,20台
1458,2.01803E+12,ひらくちかえでこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2018032200471/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1458,2019/10/10 15:45,2018/3/22 10:24,浜北区,浜名,ひろば,親子ひろば,加えない,平口160,"34.800902,137.762936",053-585-1701,,,,,,火・木,9：30～11：30,なし,28台
1251,2.01503E+12,中央ながかみ保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2015030500015/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1251,2019/4/18 16:32,2015/3/5 12:13,中区,江東,ひろば,親子ひろば,加えない,中島二丁目7-8,"34.701588,137.746617",053-467-6600,,,,,http://www.nanakeikai.jp/facility/chuou-hoiku/,月～金,9：00～11：00,月～金　上記時間,30台
1253,2.01503E+12,あそび西ケ崎保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2015030600029/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1253,2015/3/31 14:08,2015/3/6 9:32,東区,積志,ひろば,親子ひろば,加えない,西ケ崎町1430,"34.775441,137.762021",053-589-5757,,,,,http://www.asobigakuen.jp/,水（木）,9：45～11：00,土10：00～16：00（月～金開放予定）,30台
1252,2.01503E+12,あそびこども園浜松,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2015030600012/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1252,2015/3/31 14:08,2015/3/6 9:30,東区,長上,ひろば,親子ひろば,加えない,下石田町320,"34.74263,137.784079",053-422-2525,,,,,http://www.asobigakuen.jp/publics/index/9/,水曜日（園都合により変更の場合あり）,10：00～11：15,月～土 10：00～16：00,25台
1012,2.01402E+12,なかよしこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911564/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1012,2017/4/1 16:37,2014/2/19 21:05,南区,白脇,ひろば,親子ひろば,加えない,三島町1230,"34.689424,137.747853",053-441-1122,,,,,http://www.meisei.or.jp/nakayoshi/,月・木,9：30～11：30,月・木,40台
1019,2.01402E+12,鴨江保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911632/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1019,2015/3/31 14:08,2014/2/19 21:05,中区,西,ひろば,親子ひろば,加えない,鴨江二丁目8-1,"34.704838,137.715427",053-453-1206,,,,,,第3水（園都合により変更の場合あり）,10：00～11：00,月～土　10：00～15：00,9台
1020,2.01402E+12,愛恵保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911649/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1020,2017/4/14 9:15,2014/2/19 21:05,中区,西,ひろば,親子ひろば,加えない,鴨江三丁目41-17（鴨江北町公民館）,"34.705988　,137.716746",053-453-5526,,,,,,第1・2・3　火曜日,9：45～11：00,月～金（午前中）,20台
1021,2.01402E+12,西保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911656/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1021,2015/3/31 14:08,2014/2/19 21:05,中区,城北,ひろば,親子ひろば,加えない,布橋二丁目4-17,"34.721855,137.714262",053-474-6322,,,,,,不定期,9：30～11：00,月～金10：00～15：00、土 終日,4台
1022,2.01402E+12,天林寺保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911663/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1022,2015/3/31 14:08,2014/2/19 21:05,中区,北,ひろば,親子ひろば,加えない,下池川町27-1,"34.717189,137.729053",053-473-7718,,,,,http://www.tenriho.com/,月2回　水,10：00～11：45,月～金　9：00～17：00,15台
1023,2.01402E+12,なのはな保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911670/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1023,2015/3/31 14:08,2014/2/19 21:05,中区,アクト,ひろば,親子ひろば,加えない,中央三丁目4-7,"34.707624,137.741222",053-453-2620,,,,,http://www.nanohanahoiku.com/,不定期,9：30～11：30,土 9：30～11：30,無し
1024,2.01402E+12,寺島保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911687/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1024,2015/3/31 14:08,2014/2/19 21:05,中区,駅南,ひろば,親子ひろば,加えない,寺島町285-5,"34.699875,137.7419",053-456-3248,,,,,,第1・3水（園行事により変更あり）,10：00～11：00,月～土 10：00～15：00,8台
1025,2.01402E+12,天使園子どもの家,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911694/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1025,2015/3/31 14:08,2014/2/19 21:05,中区,県居,ひろば,親子ひろば,加えない,成子町23-1,"34.70163,137.726151",053-452-0203,,,,,https://tenshien.jp/,土,9：30～11：30,土,10台
1026,2.01402E+12,佐鳴台保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911700/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1026,2015/3/31 14:08,2014/2/19 21:05,中区,佐鳴台,ひろば,親子ひろば,加えない,佐鳴台三丁目30-1,"34.706879,137.696967",053-449-0744,,,,,,第3水曜日（園行事により変更あり）,10：00～11：00,月～土 10：00～15：00,6台
1027,2.01402E+12,権現谷保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911717/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1027,2015/3/31 14:08,2014/2/19 21:05,中区,富塚,ひろば,親子ひろば,加えない,富塚町1480-1,"34.731046,137.708673",053-474-2765,,,,,,月１回第3水曜日（園の都合により変更あり）,10：00～10：40,月～土 10：00～15：00,5台
1028,2.01402E+12,小豆餅ゆすらうめこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911724/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1028,2019/3/30 11:26,2014/2/19 21:05,中区,萩丘,ひろば,親子ひろば,加えない,小豆餅四丁目18-2,"34.754472,137.730268",053-414-0001,,,,,http://www.sumiyoshihoikuen.com/,水,10：30～11：30,水　9：30～12：00,10台
1029,2.01402E+12,上池さくらこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911731/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1029,2019/3/30 11:25,2014/2/19 21:05,中区,萩丘,ひろば,親子ひろば,加えない,城北二丁目25-43,"34.724227,137.723491",053-474-1125,,,,,http://www.sumiyoshihoikuen.com/,火,10：00～12：00,火　10：00～12：00,11台
1030,2.01402E+12,たかい丘こども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911748/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1030,2021/4/19 13:32,2014/2/19 21:05,中区,萩丘,ひろば,親子ひろば,加えない,高丘北二丁目25-21,"34.76205,137.704467",053-437-6530,,,,,http://taka-ho.jp/,木（多目的ホールにて）,10：00～12：00,木,
1031,2.01402E+12,葵ヶ丘保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911755/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1031,2015/3/31 14:08,2014/2/19 21:05,中区,萩丘,ひろば,親子ひろば,加えない,高丘東三丁目54-18,"34.763492,137.717063",053-437-7952,,,,,https://aoigaokahoiku.com,月2回不定期,10：00～11：30,月・水・金 13：00～15：00（お部屋・園庭の開放）,25台
1032,2.01402E+12,れんげこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911762/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1032,2018/4/2 16:31,2014/2/19 21:05,中区,萩丘,ひろば,親子ひろば,加えない,和合北一丁目2-37,"34.736504,137.722297",053-482-8241,,,,,http://konohana-renge.org,水,9：45～11：30,毎週月9：30～11：30,20台
1033,2.01402E+12,こばと保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911779/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1033,2015/3/31 14:08,2014/2/19 21:05,中区,曳馬,ひろば,親子ひろば,加えない,高林四丁目14-13,"34.730169,137.732397",053-471-0739,,,,,http://www.kobatokai-kobatohoikuen.jp/,木（月一回のみ）・金・土（原則）,10：00～11：30,,16台
1034,2.01402E+12,ひくまこども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911786/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1034,2016/4/7 14:49,2014/2/19 21:05,中区,曳馬,ひろば,親子ひろば,加えない,曳馬四丁目8-12,"34.729204,137.744762",053-464-4069,,,,,https://www.syoju-kai.com/,火・水・木,9：30～11：30,火・水・木,20台
1035,2.01402E+12,なかよし第2こども園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911793/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1035,2017/4/14 9:21,2014/2/19 21:05,中区,江東,ひろば,親子ひろば,加えない,領家三丁目23-13,"34.693765,137.754669",053-463-8211,,,,,http://www.meisei.or.jp/nakayoshi2/index.html,火・木,9：30～11：30,9：30～11：30,25台
1036,2.01402E+12,南保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911809/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1036,2015/3/31 14:08,2014/2/19 21:05,中区,江西,ひろば,親子ひろば,加えない,浅田町73-39,"34.695817,137.735751",053-452-1413,,,,,,毎月1回木,10：00～11：30,月～土10：00～15：00,8台
1037,2.01402E+12,江西保育園,公開中,https://www.hamamatsu-pippi.net/tsunagaru/h_hoikuen/2014021911816/,https://www.hamamatsu-pippi.net/_admin/child/c1/32/facilities/1037,2015/3/31 14:08,2014/2/19 21:05,中区,江西,ひろば,親子ひろば,加えない,神田町176,"34.686865,137.725282",053-441-8121,,,,,,月１回不定期　水,10：00～11：30,月～金 10：00～14：00、土 9：30～14：00,4台
