name,title,division,category,calendar_state,place,lat,lng,tel,url,fax,add1,add2,add3,add4,add5,add6,add7,add8,add9,add10,addd11,add12,add13,add14,add15,add16,add18,add19,add20,add21,add22
2021052500391 ,中区和合教室,萩丘,はままつ子どもの学習教室,2,和合町555(和合せいれいの里),34.742566,137.701077,053-546-0500,,,メール$$tng0500@sis.seirei.or.jp,開催日時$$火曜日・16:00～20:00,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、小学1年生から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$社会福祉法人聖隷福祉事業団,,,,,,,,,,,,,,
2021052500407 ,曳馬塾,曳馬,はままつ子どもの学習教室,2,曳馬三丁目13-10(曳馬協働センター),34.726638,137.743551,090-3250-4280,,,メール$$kenkato46@gmail,開催日時$$土曜日・15:00～17:00,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$学習支援曳馬ボランティア委員会,,,,,,,,,,,,,,
2021052500414 ,ひまわり会学習支援　（長上協働センター）,長上,はままつ子どもの学習教室,2,市野町2620-1(長上協働センター),34.74711,137.767922,090-6073-5220,,,メール$$hamagaku1oya@gmail.com,開催日時$$土曜日・16:00～18:00,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$30名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$公益社団法人静岡県母子寡婦福祉連合会,,,,,,,,,,,,,,
2021052700043 ,鷺の宮団地集会場教室,長上,はままつ子どもの学習教室,2,市野町514(鷺の宮団地　集会所),34.753385,137.766747,090-4468-0582,,,メール$$greendays@shizuoka.tnc.ne.jp,開催日時$$月曜日・18:30～20:30,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$NPO法人サステナブルネット,,,,,,,,,,,,,,
2021052700050 ,西区入野教室,入野,はままつ子どもの学習教室,2,大平台4-34-1(永福寺),34.708361,137.675428,090-2570-7363,,,メール$$h-kodomo@hsyakyou.or.jp,開催日時$$月曜日・第1部17:00～18:30　第2部19:00～20:30,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$社会福祉法人浜松市社会福祉協議会,,,,,,,,,,,,,,
2021052700067 ,和地協働センター教室,和地,はままつ子どもの学習教室,2,和地町6578(和地協働センター),34.766978,137.665685,090-4468-0582,,,メール$$greendays@shizuoka.tnc.ne.jp,開催日時$$水曜日・18:30～20:30,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$NPO法人サステナブルネット,,,,,,,,,,,,,,
2021052700074 ,西区雄踏教室,雄踏,はままつ子どもの学習教室,2,雄踏町宇布見8534-1　クライネスハイム102号(学習支援西区雄踏教室),34.69879,137.627195,053-546-0500,,,メール$$tng0500@sis.seirei.or.jp,開催日時$$水曜日・16:00～20:00,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$社会福祉法人聖隷福祉事業団,,,,,,,,,,,,,,
2021052700081 ,南区白脇教室,白脇,はままつ子どもの学習教室,2,寺脇町241(白脇協働センター),34.682251,137.742511,090-2570-7363,,,メール$$h-kodomo@hsyakyou.or.jp,開催日時$$水曜日・19:00～21:00,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$社会福祉法人浜松市社会福祉協議会,,,,,,,,,,,,,,
2021052700098 ,寺子屋しんづ,新津,はままつ子どもの学習教室,2,倉松町598番地(サービスセンター南風),34.675962,137.696787,053-449-8101,,,開催日時$$土曜日・13:30～15:30,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$社会福祉法人ほなみ会,,,,,,,,,,,,,,,
2021052700104 ,北区三方原教室,三方原,はままつ子どもの学習教室,2,三方原町1179-5(三方原協働センター),34.783805,137.717469,090-2570-7363,,,メール$$h-kodomo@hsyakyou.or.jp,開催日時$$金曜日・18:30～20:30,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$社会福祉法人浜松市社会福祉協議会,,,,,,,,,,,,,,
2021052700111 ,北区引佐教室,引佐,はままつ子どもの学習教室,2,引佐町井伊谷2569(聖隷ケアセンターいなさ),34.83170023,137.6733756,053-546-0500,,,メール$$tng0500@sis.seirei.or.jp,開催日時$$木曜日・16:00～20:00,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$社会福祉法人聖隷福祉事業団,,,,,,,,,,,,,,
2021052700128 ,浜北文化センター教室,北浜,はままつ子どもの学習教室,2,貴布祢291-1(浜北文化センター),34.7942935,137.7831472,090-4468-0582,,,メール$$greendays@shizuoka.tnc.ne.jp,開催日時$$金曜日・18:30～20:30,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$NPO法人サステナブルネット,,,,,,,,,,,,,,
2021052700135 ,JUICE 奏（ジュースかなで）,北浜,はままつ子どもの学習教室,2,寺島3267-1(みどりの樹　ループ奏),34.78418659,137.7898272,080-2666-4619,,,開催日時$$水曜日・18:00～20:00,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$一般社団法人みらいTALK,,,,,,,,,,,,,,,
2021052700142 ,よりみちくらぶ,天竜,はままつ子どもの学習教室,2,二俣町二俣184番地の32(二俣協働センター),34.86445108,137.8176403,053-583-1423,,,メール$$community.welfare-tk@tenryu-kohseikai.or.jp,開催日時$$水曜日・15:00～18:30,対象者$$経済的な理由や家庭環境で学習⽀援を必要とする、⼩学4年⽣から中学3年⽣までの児童⽣徒のうち希望者,利用料$$無料,定員$$25名,"申込方法$$はままつ子どもの学習教室申込フォーム
https://docs.google.com/forms/d/1yLZjceweDR00yo-s9Ypiyo16NxXqQ_lvPBcQ379GYjg/viewform?edit_requested=true",運営者$$社会福祉法人天竜厚生会,,,,,,,,,,,,,,
2021061400033 ,あかり,西,認可外,2,鴨江二丁目34-52,34.7027757,137.7132107,090-5857-3398,https://akari.codmon.net,,,,,,,,,,,,,,,,,,,,,,
2021061400040 ,Kun Kun Tavolo（クンクン ターヴォロ）みんなの食堂,西,子ども食堂,2,鴨江町1番地（浜松市鴨江アートセンター）,34.70496734,137.7245903,090-3256-6045,https://hamamatsu-fight.sakura.ne.jp/wp/,,実施者$$はままつファイト！！レガーロ,"開催日時$$毎月第3または第4木曜日
18:30～20:00",対象者$$興味のある子どもとその保護者（3歳～15歳 小学生・中学生程度）,利用料$$無料（こども）,"活動内容$$食事の提供
居場所 遊び場",備考$$要事前予約（HP又は電話）,,,,,,,,,,,,,,,
2021070100016 ,寺子屋かもえ,西,その他の民間学習支援,2,三組町139-8（鴨江珈琲）,34.70688272,137.721421,090-4113-1989,https://cafe-de-terakoya.or.jp/,,メール$$info@cafe-de-terakoya.or.jp,開催日時$$毎週水曜日　18~20時（18時半までに参加者がいない場合、その日の開催は中止します。）,対象者$$小学1年生から高校3年生です。特別な条件はありません。,利用料$$無料,定員$$8名,申込方法$$お申込みは必要ありません。ただ、定員が少ないので、メールにてご連絡いただけますと確実です。,運営者$$特定非営利活動法人Cafe de寺子屋,,,,,,,,,,,,,,
2021070100092 ,エスコラ　アウカンセ,富塚,外国人向け,2,富塚町3002-3,34.72819236,137.6909993,053-543-6280,,,,,,,,,,,,,,,,,,,,,,,
2021032400291 ,こどものおうち　すぃーとぴー,芳川,小規模保育事業,2,恩地町297-2,34.68704608,137.7627164,053-427-2332,https://zudaji.jp/,,園長名（施設責任者）$$清水　麻里,保育標準時間$$午前7時～午後6時,保育短時間$$午前8時～午後4時,"延長保育$$【保育標準時間での利用者】
午後6時～午後7時
【保育短時間での利用者】
午前7時～午前8時
午後4時～午後7時
【利用料】
午後6時～午後7時
200円/30分
午前7時～午前8時
300円/1回 月極3,000円
午後4時～午後6時
500円/1回",預かり保育$$なし,休園日$$日曜、祝日、年末年始,"定員$$12名
≪年齢別内訳≫ 
0歳児　3名
1歳児　4名
2歳児　5名",対象年齢$$生後6か月～2歳児,入所に必要な認定区分$$3号認定（満3歳未満）,"保育料$$保育料（2号・3号認定）
https://www.hamamatsu-pippi.net/docs/2015021900114/","保育料以外の保護者負担$$【毎月】
教材費
500円
【入園時】
安全対策費　
2,000円
【年間一括、その他】
安全対策費　
2,000円","特色$$恵まれた環境のなかで…
当園は、芳川に隣接しており、春は桜や菜の花が彩り、夏はカニが姿を見せ…秋は虫の合唱・ススキなどで風情を感じ、冬にはじっと春を待つ木々の芽に力をもらう…園の周りの環境は情緒を育てるための宝庫です。自然の恵み豊かなこの地で、恵まれた環境を最大限に生かしながら、明るく・たくましく・賢く・感性豊かな子の育成を目指しています。","方針$$“顔の数だけ　個性がある”

小さなからだに独自の個性や、能力を秘めて生まれてくる子どもたち。その個性や能力は、適切な時期に自然豊かな環境のなかで保育がなされることによって、よりよい心身の発達を促します。人間にとって乳幼児期は、最も大切な時期に当たります。当園は焦らず、諦めず、“今”を大切に一人ひとりの個性にあった保育を進めていきます。また、ずだじこども園とも連携して保育を進めていきます。","連携施設$$ずだじこども園（保育所機能）
https://www.hamamatsu-pippi.net/shiritai/kodomoen_ho/2014021908311/",,,,,,,
2021032400307 ,聖隷こども園めぐみ,萩丘,浜松市委託事業,2,和合町555-1,34.742264,137.701493,053-401-1212,http://www.seirei.or.jp/nurseryschool/kodomoen-megumi/,,保育内容$$病後児,利用定員$$1日4人まで（予約順）,開所時間$$午前7時30分～午後6時,利用期間$$連続して7日以内,"利用料金$$1,500円(副食費200円を含む）",休業日$$土・日曜日、祝日、年末年始,対象児童$$0歳（産休明け）から小学校に在籍している子ども,"利用方法$$事前に利用登録が必要です。 
利用する日の前日までに、聖隷こども園めぐみへ電話で予約してください。利用に際しては、医師の連絡票が必要です。
※医師連絡票、保護者からの病状連絡票等は、病児・病後児保育室にあります。
病児・病後児保育 利用手順と必要書類
https://www.hamamatsu-pippi.net/docs/2014021901398/","利用時の持ち物$$医師連絡票
保護者からの病状連絡票
母子健康手帳（初回利用時）
着替え（3組程度）・紙オムツ（必要な人）
汚れ物入れビニール袋2枚
※持ち物にはお名前をお書きください。",,,,,,,,,,,,
2021032400314 ,みどり保育園,積志,浜松市委託事業,2,有玉西町1222,34.762485,137.744644,053-433-9734,http://sites.google.com/site/midoribaoyuyuan/,,保育内容$$病児・病後児,利用定員$$1日4人まで（予約順）,開所時間$$午前7時30分～午後6時,利用期間$$連続して7日以内,"利用料金$$1,500円(副食費200円を含む）",休業日$$土・日曜日、祝日、年末年始,対象児童$$0歳（産休明け）から小学校に在籍している子ども,"利用方法$$事前に利用登録が必要です。
利用する日の前日までに、みどり保育園へ電話で予約してください。(電話受付時間　午前7時30分～午後6時)利用に際しては、医師の連絡票が必要です。
※医師連絡票、保護者からの病状連絡票等は、病児・病後児保育室にあります。
病児・病後児保育 利用手順と必要書類
https://www.hamamatsu-pippi.net/docs/2014021901398/","利用時の持ち物$$医師連絡票
保護者からの病状連絡票
与薬依頼カード ・薬
母子健康手帳
着替え・パジャマ・オムツ（必要な人）
汚れ物入れビニール袋2枚
※持ち物にはお名前をお書きください。",,,,,,,,,,,,
2021032400321 ," 	みつばち保育園",白脇,浜松市委託事業,2,瓜内町844-3,34.688695,137.735068,053-444-3282,http://mitubatihoikuen.com/,,保育内容$$病児・病後児,利用定員$$1日4人まで（予約順）,開所時間$$午前7時30分～午後6時,利用期間$$連続して7日以内,"利用料金$$1,500円(副食費200円を含む）",休業日$$土・日曜日、祝日、年末年始,対象児童$$0歳（産休明け）から小学校に在籍している子ども,"利用方法$$事前に利用登録が必要です。
利用する日の前日までに、みつばち保育園へ電話で予約してください。
利用に際しては、医師の連絡票が必要です。※医師連絡票、保護者からの病状連絡票等は、病児・病後児保育室にあります。
病児・病後児保育 利用手順と必要書類
https://www.hamamatsu-pippi.net/docs/2014021901398/","利用時の持ち物$$医師連絡票
保護者からの病状連絡票
与薬依頼カード ・お薬依頼書（登園時記入）
就学前のお子さんはお昼寝用布団を持参
着替え（下着を含む衣類）2~3セット
口吹き用タオル2枚（食事やおやつ）
オムツ5枚程度（必要な人）
汚れ物入れビニール袋2枚
※持ち物にはお名前をお書きください。",,,,,,,,,,,,
2021032400338 ,聖隷こども園わかば,三方原,浜松市委託事業,2,根洗町645-1,34.793985,137.695202,053-437-0822,http://www.seirei.or.jp/nurseryschool/wakaba/,,保育内容$$病後児,利用定員$$1日4人まで（予約順）,開所時間$$午前7時30分～午後6時,利用期間$$連続して7日以内,"利用料金$$1,500円(副食費200円を含む）",休業日$$土・日曜日、祝日、年末年始,対象児童$$0歳（産休明け）から小学校に在籍している子ども,"利用方法$$事前に利用登録が必要です。
利用する日の前日までに、聖隷こども園わかばへ電話で予約してください。(電話受付時間　午前7時～午後7時)利用に際しては、医師の連絡票が必要です。
※医師連絡票、保護者からの病状連絡票等は、病児・病後児保育室にあります。
病児・病後児保育 利用手順と必要書類
https://www.hamamatsu-pippi.net/docs/2014021901398/","利用時の持ち物$$医師連絡票
保護者からの病状連絡票
与薬依頼カード ・お薬依頼書（登園時記入）
母子健康手帳（初回利用時）
着替え（3組程度）・紙オムツ（必要な人）
汚れ物入れビニール袋2枚
※持ち物にはお名前をお書きください。",,,,,,,,,,,,
2021032400345 ,チャイルドスクエア浜松三ヶ日,三ヶ日,私立認可保育園,2,三ヶ日町三ヶ日916-70,34.80326463,137.5489748,053-524-4188,,,園長名$$北野　奈々子,開所時間$$午前7時15分～午後7時15分,保育標準時間$$午前7時15分～午後6時15分,保育短時間$$午前8時30分～午後4時30分,"延長保育$$【保育標準時間での利用者】
午後6時15分～午後7時15分
【保育短時間での利用者】
午前7時15分～午前8時30分
午後4時30分～午後7時15分
【利用料】
200円／30分",預かり保育$$あり,休園日$$日曜、祝日、年末年始,"利用定員$$60名　
≪年齢別内訳≫ 
0歳児　6名
1歳児　9名
2歳児　9名
3歳児　12名
4歳児　12名
5歳児　12名",対象年齢$$生後3か月～小学校就学前まで,入所に必要な認定区分$$2号認定（満3歳以上）、3号認定（満3歳未満）,"保育料$$保育料（2号・3号認定）
https://www.hamamatsu-pippi.net/docs/2015021900114/
※満3歳以上は幼児保育・保育無償化の対象です。","給食費（3歳児以上）$$6,500円/月（うち副食費5,500円/月　週5回登園）
7,000円/月（うち副食費6,000円/月　週6回登園）","その他の保護者負担額$$【毎月】
おむつ処理代　500円
【入園時】
連絡ノート代　100円","特色$$60名定員でアットホームな雰囲気です。
〇伝統行事を通して豊かな日本の四季を感じ、自然への感謝の気持ちや喜びに満ちた心を育んでいきます。
〇園庭は足でどろんこになって遊ぶことを楽しみます。
〇プランター菜園では季節の野菜やお花を育て、食育へと広げています。","方針$$①子どもの健康と安全を基本にして保護者の協力の下、家庭療育のサポートを行います。
②和食を中心とした給食や食育を通して食への関心を育てます。
③はだしや薄着の習慣をつけ、健康な身体つくりの基礎を培います。
④一つ一つ意味のある日本の伝統行事を大切にし、子どもたちへ伝承します。",,,,,,
2021040900059 ,第三パンサークラブ,中瀬,放課後児童会,2,中瀬3648-1,34.823914,137.810756,053-588-0781,,,指定小学校$$中瀬小学校,開設場所$$中瀬小学校専用施設,定員$$40,"開設時間$$【平日】正午～午後6時30分
【土曜】午前8時～午後6時30分
【長期】午前8時～午後6時30分","費用$$【会費】1～3年生8,000円　4～6年生6,000円
【おやつ代】2,000円",,,,,,,,,,,,,,,,
2021032400352 ,れんりの子,都田,私立認可保育園,2,都田町8503-19,34.81528781,137.7329447,053-428-3500,https://hoikuen-lenri.com/,,園長名$$富田　知可子,開所時間$$午前7時～午後7時,保育標準時間$$午前7時～午後6時,保育短時間$$午前8時～午後4時,"延長保育$$【保育標準時間での利用者】
午後6時～午後7時
【保育短時間での利用者】
午前7時～午前8時
午後4時～午後7時
【利用料】
100円/30分",預かり保育$$あり,休園日$$日曜、祝日、年末年始,"利用定員$$60名
≪年齢別内訳≫ 
0歳児　5名
1歳児　10名
2歳児　11名
3歳児　11名
4歳児　11名
5歳児　12名",対象年齢$$生後6か月～小学校就学前まで,入所に必要な認定区分$$2号認定（満3歳以上）、3号認定（満3歳未満）,"保育料$$保育料（2号・3号認定）
https://www.hamamatsu-pippi.net/docs/2015021900114/
※満3歳以上は幼児保育・保育無償化の対象です。","給食費（3歳児以上）$$6,000円/月（うち副食費5,200円）","その他の保護者負担額$$【毎月】
おむつ処理代（利用者）300円
【入園時】
かばん 教材費 園服（3歳児クラス以上対象）","特色$$一見、一本の木に見えますが実は二本の木が支え合っている大きな木があります。このような木のことを『連理の木』といいます。連理の木が立つ敷地に管工事事業、農園事業、レストラン・カフェ事業、お菓子工房、そして保育園が共存しており、この地を『連理の木の下で』と名付け地域の皆様に開放しています。
食、自然、遊び、人との関わり…と乳幼児期に大切な環境が整っている連理の木の下で、子どもたちの生きる力を育みます。","方針$$【保育方針】  食農保育を通して「共に生きる力」を育む
・食を大切にする心を育みます（食と関わる）
・自然の中で五感を伸ばします（自然と関わる）
・たくましい心とからだを育てます（遊びと関わる）
・周囲との関わりから思いやりの心を培います（人と関わる）",,,,,,
