名称,カナ,郵便番号,区,地区,所在地,緯度,経度,電話番号,URL,設置主体,文科省学校コード,町名1,区名2,町名2,指定中学校
浜松市立河輪小学校,ハママツシリツ　ショウガッコウ,4300822,南区,,浜松市南区東町333,34.675986,137.78283,053-425-0036,,浜松市,B122210003788,河輪町･三新町･富屋町･長田町･西町･東町,,,東陽中学校
浜松市立船越小学校,ハママツシリツ　ショウガッコウ,4300913,中区,,浜松市中区船越町29-1,34.71809,137.74388,053-461-1849,,浜松市,B122210003797,十軒町(東セロ跡地)･早出町(東セロ跡地及び南側)･茄子町･野口町(6～10丁目)･船越町･細島町,東区,神立町(134の5～134の16),八幡中学校
浜松市立城北小学校,ハママツシリツ　ショウガッコウ,4300906,中区,,浜松市中区住吉一丁目23-1,34.728716,137.723714,053-471-0196,,浜松市,B122210003804,和合町(和合町自治会(馬生))･和地山一丁目(1番～2番を除く)･和地山二丁目･和地山三丁目･住吉一丁目･住吉二丁目･住吉三丁目･住吉四丁目･住吉五丁目(中学校は高台中学校区),,,北部中学校
浜松市立和田小学校,ハママツシリツ　ショウガッコウ,4350017,東区,,浜松市東区薬師町273-2,34.724932,137.782877,053-421-0134,,浜松市,B122210003813,北島町･篠ケ瀬町･薬師町･和田町,,,天竜中学校
浜松市立与進小学校,ハママツシリツ　ショウガッコウ,4350052,東区,,浜松市東区天王町1351,34.741163,137.770383,053-421-1542,,浜松市,B122210003822,市野町(東･南)･上石田町･下石田町･天王町･原島町･流通元町,,,与進中学校
浜松市立豊西小学校,ハママツシリツ　ショウガッコウ,4313102,東区,,浜松市東区豊西町1551,34.767292,137.804233,053-434-1165,,浜松市,B122210003831,貴平町･常光町･恒武町･豊西町･豊町,,,笠井中学校
浜松市立笠井小学校,ハママツシリツ　ショウガッコウ,4313107,東区,,浜松市東区笠井町1050,34.772294,137.795542,053-434-1042,,浜松市,B122210003840,笠井上町･笠井新田町･笠井町,,,笠井中学校
浜松市立中ノ町小学校,ハママツシリツ　ショウガッコウ,4350004,東区,,浜松市東区中野町427-1,34.729263,137.793528,053-421-0059,,浜松市,B122210003859,国吉町･白鳥町･中里町･中野町･松小池町,,,天竜中学校
浜松市立芳川小学校,ハママツシリツ　ショウガッコウ,4300813,南区,,浜松市南区芳川町206-1,34.692466,137.766868,053-461-0020,,浜松市,B122210003868,芳川町･安松町(西伝寺町自治会を除く)･石原町･老間町･大柳町･金折町･御給町･四本松町･下江町･立野町･鼡野町･古川町(中学校は東陽中学校区),,,南陽中学校
浜松市立飯田小学校,ハママツシリツ　ショウガッコウ,4350028,南区,,浜松市南区飯田町978,34.706376,137.774134,053-461-3740,,浜松市,B122210003877,青屋町･飯田町･大塚町･三和町･下飯田町･新貝町･鶴見町･渡瀬町,,,東部中学校
浜松市立花川小学校,ハママツシリツ　ショウガッコウ,4338109,中区,,浜松市中区花川町781,34.774417,137.685847,053-436-1401,,浜松市,B122210003886,西丘町･花川町,,,開成中学校
浜松市立三方原小学校,ハママツシリツ　ショウガッコウ,4338105,北区,,浜松市北区三方原町682,34.778065,137.71223,053-436-6200,,浜松市,B122210003895,三方原町(百園･清水･保養園を除く),,,三方原中学校
浜松市立豊岡小学校,ハママツシリツ　ショウガッコウ,4338103,北区,,浜松市北区豊岡町22,34.786989,137.71942,053-436-1107,,浜松市,B122210003902,大原町･豊岡町･根洗町･東三方町･三方原町(百園･清水･保養園)･三幸町,,,三方原中学校
浜松市立都田小学校,ハママツシリツ　ショウガッコウ,4312102,北区,,浜松市北区都田町5609-2,34.827467,137.717139,053-428-2004,,浜松市,B122210003911,滝沢町･都田町(沢上･前原･白昭を除く)･鷲沢町,,,都田中学校
浜松市立神久呂小学校,ハママツシリツ　ショウガッコウ,4328005,西区,,浜松市西区神ケ谷町3490,34.727726,137.669494,053-485-8508,,浜松市,B122210003920,大久保町･神ケ谷町(佐鳴湖西岸土地区画整理事業区域を除く)･神原町･西山町,,,神久呂中学校
浜松市立入野小学校,ハママツシリツ　ショウガッコウ,4328061,西区,,浜松市西区入野町8757,34.699455,137.686052,053-447-1009,,浜松市,B122210003939,入野町(東神田川以西を除く),,,入野中学校
浜松市立積志小学校,ハママツシリツ　ショウガッコウ,4313114,東区,,浜松市東区積志町1497-1,34.765952,137.760304,053-434-0027,,浜松市,B122210003948,有玉北町(町田自治会を除く)･大瀬町(下大瀬西)･積志町(橋爪西の東を除く)･西ケ崎町(沖)･半田町･半田山一丁目(医大宿舎自治会を除く)･半田山三丁目･半田山四丁目･半田山五丁目･半田山六丁目,,,積志中学校
浜松市立伊佐見小学校,ハママツシリツ　ショウガッコウ,4311111,西区,,浜松市西区伊左地町5644,34.745118,137.655476,053-486-0007,,浜松市,B122210003957,伊左地町･大人見町･古人見町･佐浜町,,,湖東中学校
浜松市立和地小学校,ハママツシリツ　ショウガッコウ,4311103,西区,,浜松市西区湖東町2005,34.766595,137.666616,053-486-0107,,浜松市,B122210003966,大山町･湖東町･桜台一丁目･桜台二丁目･桜台三丁目･桜台四丁目･桜台五丁目･桜台六丁目･和光町･和地町,,,湖東中学校
浜松市立都田南小学校,ハママツシリツ　ショウガッコウ,4312102,北区,,浜松市北区都田町8756,34.812617,137.736604,053-428-2046,,浜松市,B122210003975,都田町(沢上･前原･白昭)･新都田一丁目･新都田二丁目･新都田三丁目･新都田四丁目･新都田五丁目,,,都田中学校
浜松市立篠原小学校,ハママツシリツ　ショウガッコウ,4310201,西区,,浜松市西区篠原町10300,34.684111,137.656561,053-447-2009,,浜松市,B122210003984,篠原町･坪井町･馬郡町,,,篠原中学校
浜松市立葵が丘小学校,ハママツシリツ　ショウガッコウ,4338117,中区,,浜松市中区高丘東三丁目51-1,34.762642,137.71631,053-436-1461,,浜松市,B122210003993,葵東一丁目･葵東二丁目･葵東三丁目･高丘東一丁目･高丘東二丁目･高丘東三丁目･高丘東四丁目･高丘東五丁目･高丘町(市道高丘葵線以東),,,開成中学校
浜松市立村櫛小学校,ハママツシリツ　ショウガッコウ,4311207,西区,,浜松市西区村櫛町2551,34.728267,137.595061,053-489-2824,,浜松市,B122210004000,村櫛町,,,庄内中学校
浜松市立泉小学校,ハママツシリツ　ショウガッコウ,4338124,中区,,浜松市中区泉一丁目16-1,34.738734,137.721272,053-472-5228,,浜松市,B122210004019,和合町(馬生を除く和合町自治会)･和合北一丁目･和合北二丁目･和合北三丁目･和合北四丁目･泉町･泉一丁目･泉二丁目･泉三丁目･泉四丁目(中学校は高台中学校区),,,北部中学校
浜松市立大瀬小学校,ハママツシリツ　ショウガッコウ,4313113,東区,,浜松市東区大瀬町2218,34.756681,137.772762,053-434-4620,,浜松市,B122210004028,市野町(北(505番地～524番地))･大島町(上前島)･大瀬町(下大瀬西を除く)･小池町(1番地～11番地),,,中郡中学校
浜松市立砂丘小学校,ハママツシリツ　ショウガッコウ,4300846,南区,,浜松市南区白羽町2512,34.667674,137.725985,053-441-3375,,浜松市,B122210004037,卸本町･田尻町(国道1号線以南)･新橋町(2767番地～2775番地)･法枝町(国道1号線以南)･米津町(国道1号線以南)･白羽町(国道1号線以南)･中田島町(馬込川以南)(中学校は江南中学校区),,,新津中学校
浜松市立中郡小学校,ハママツシリツ　ショウガッコウ,4313111,東区,,浜松市東区中郡町915,34.770882,137.774016,053-433-0927,,浜松市,B122210004046,大島町(上大瀬)･積志町(橋爪西の東)･中郡町･西ケ崎町(上･中･旭),,,中郡中学校
浜松市立与進北小学校,ハママツシリツ　ショウガッコウ,4350051,東区,,浜松市東区市野町2715,34.746718,137.765433,053-421-6976,,浜松市,B122210004055,市野町(北(505番地～524番地を除く))･小池町(1番地～11番地を除く)･中田町,,,与進中学校
浜松市立佐鳴台小学校,ハママツシリツ　ショウガッコウ,4328021,中区,,浜松市中区佐鳴台三丁目31-1,34.70604,137.696681,053-448-6768,,浜松市,B122210004064,佐鳴台一丁目･佐鳴台二丁目･佐鳴台三丁目･佐鳴台四丁目･佐鳴台五丁目･佐鳴台六丁目,,,佐鳴台中学校
浜松市立瑞穂小学校,ハママツシリツ　ショウガッコウ,4338119,中区,,浜松市中区高丘北三丁目15-8,34.76535,137.698637,053-436-7158,,浜松市,B122210004073,葵西一丁目(13番3号，13番5号，13番19号及び13番20号)･高丘北一丁目･高丘北二丁目･高丘北三丁目･高丘北四丁目･高丘西一丁目･高丘西二丁目･高丘西三丁目･高丘西四丁目･高丘町(市道高丘葵線以西),,,開成中学校
浜松市立富塚西小学校,ハママツシリツ　ショウガッコウ,4328002,中区,,浜松市中区富塚町3541,34.728649,137.699663,053-474-6333,,浜松市,B122210004082,富塚町(西自治会･中自治会(上ノ平地区))･和合町(西和自治会),,,富塚中学校
浜松市立芳川北小学校,ハママツシリツ　ショウガッコウ,4300817,南区,,浜松市南区頭陀寺町1046-1,34.698931,137.760977,053-463-7231,,浜松市,B122210004091,恩地町･参野町･西伝寺町･頭陀寺町･都盛町･本郷町･安松町(西伝寺町自治会),,,南陽中学校
浜松市立有玉小学校,ハママツシリツ　ショウガッコウ,4313122,東区,,浜松市東区有玉南町614,34.757997,137.750372,053-435-0051,,浜松市,B122210004108,有玉北町(町田自治会)･有玉台一丁目･有玉台二丁目･有玉台三丁目･有玉台四丁目･有玉西町(静岡県立三方原学園入所者を除く)･有玉南町･半田一丁目(医大宿舎自治会)･半田山二丁目,,,積志中学校
浜松市立初生小学校,ハママツシリツ　ショウガッコウ,4338112,北区,,浜松市北区初生町1001-2,34.768906,137.727554,053-437-0718,,浜松市,B122210004117,初生町,,,北星中学校
浜松市立西都台小学校,ハママツシリツ　ショウガッコウ,4328067,西区,,浜松市西区西鴨江町1106,34.703337,137.664282,053-449-1336,,浜松市,B122210004126,入野町(東神田川以西)･志都呂町･西鴨江町･西都台町･志都呂一丁目･志都呂二丁目,,,入野中学校
浜松市立和田東小学校,ハママツシリツ　ショウガッコウ,4350012,東区,,浜松市東区安間町437-2,34.720986,137.789338,053-422-0125,,浜松市,B122210004135,安新町･安間町･材木町･天竜川町･長鶴町･薬新町･龍光町,,,天竜中学校
浜松市立葵西小学校,ハママツシリツ　ショウガッコウ,4338111,中区,,浜松市中区葵西二丁目25-1,34.767866,137.710555,053-436-6652,,浜松市,B122210004144,葵西一丁目(13番3号，13番5号，13番19号及び13番20号を除く)･葵西二丁目･葵西三丁目･葵西四丁目･葵西五丁目･葵西六丁目,,,北星中学校
浜松市立可美小学校,ハママツシリツ　ショウガッコウ,4328051,南区,,浜松市南区若林町1748,34.689834,137.698243,053-447-0043,,浜松市,B122210004803,増楽町･高塚町･東若林町･若林町,,,可美中学校
浜松市立有玉小学校萩原分校,ハママツシリツ　ショウガッコウ,4313123,東区,,浜松市東区有玉西町816,34.755366,137.733695,053-412-5930,,浜松市,B122210004153,,,,
浜松市立大平台小学校,ハママツシリツ　ショウガッコウ,4328068,西区,,浜松市西区大平台三丁目6-1,34.714794,137.680546,053-482-1161,,浜松市,B122210004162,神ケ谷町(佐鳴湖西岸土地区画整理事業区域)･大平台一丁目･大平台二丁目･大平台三丁目･大平台四丁目,,,入野中学校
浜松市立舞阪小学校,ハママツシリツ　ショウガッコウ,4310211,西区,,浜松市西区舞阪町舞阪76,34.685898,137.611435,053-592-0144,,浜松市,B122210004812,舞阪町舞阪･舞阪町長十新田･舞阪町浜田･舞阪町弁天島,,,舞阪中学校
浜松市立雄踏小学校,ハママツシリツ　ショウガッコウ,4310102,西区,,浜松市西区雄踏町宇布見7997-1,34.701611,137.632982,053-592-1029,,浜松市,B122210004885,雄踏町宇布見･雄踏一丁目･雄踏二丁目･雄踏町山崎,,,雄踏中学校
浜松市立浜名小学校,ハママツシリツ　ショウガッコウ,4340042,浜北区,,浜松市浜北区小松1450,34.789644,137.768952,053-586-3066,,浜松市,B122210004457,平口･新原(4339番地の3)･貴布祢(小松八幡･法師軒町内会)･内野(姥ヶ谷町内会)･小松(小松八幡･法師軒･東町･小松本町･新田･栄･西町･小松西向･沖･小松尾島･小松南1～3丁目町内会),,,浜名中学校
浜松市立北浜小学校,ハママツシリツ　ショウガッコウ,4340036,浜北区,,浜松市浜北区横須賀800,34.792436,137.792089,053-586-2990,,浜松市,B122210004466,中条(875番地の1)･高畑(2番地の1～854番地の3)･小松(4819番地の8)･寺島(高畑東町内会)･横須賀(横須賀上･横須賀東･横須賀西･沼町内会)･西美薗(沼･横須賀上･西美薗下･高畑西町内会)･沼(沼町内会)･東美薗(東美薗町内会1～3班･高畑東町内会)･貴布祢(沼町内会),,,北浜中学校
浜松市立北浜東小学校,ハママツシリツ　ショウガッコウ,4340025,浜北区,,浜松市浜北区善地1546,34.792443,137.810684,053-586-3319,,浜松市,B122210004475,善地･高薗･竜南･新掘･八幡･永島･上善地(上善地･永島町内会),,,北浜東部中学校
浜松市立中瀬小学校,ハママツシリツ　ショウガッコウ,4340012,浜北区,,浜松市浜北区中瀬3648-1,34.82402,137.810911,053-588-7310,,浜松市,B122210004484,上島･中瀬･西中瀬一丁目・西中瀬二丁目・西中瀬三丁目・本沢合(中瀬7区町内会)･新原(中瀬4区南町内会)･豊保(中瀬4区東･中瀬4区西･中瀬4区南･中瀬7区町内会),,,浜北北部中学校
浜松市立赤佐小学校,ハママツシリツ　ショウガッコウ,4340015,浜北区,,浜松市浜北区於呂2790,34.837547,137.797167,053-588-7552,,浜松市,B122210004493,於呂･根堅･尾野(尾野上･尾野中･尾野下町内会)･宮口(尾野上町内会),,,浜北北部中学校
浜松市立麁玉小学校,ハママツシリツ　ショウガッコウ,4340004,浜北区,,浜松市浜北区宮口262,34.829453,137.770637,053-589-8313,,浜松市,B122210004509,大平･堀谷･灰木･四大地･尾野(大屋敷町内会)･新原(辺田原･梔池町内会)･宮口(大屋敷･譲栄･町･有隣･野口･梔池･辺田原町内会),,,麁玉中学校
浜松市立新原小学校,ハママツシリツ　ショウガッコウ,4340003,浜北区,,浜松市浜北区新原2331,34.817863,137.780892,053-589-8327,,浜松市,B122210004518,新原(新原本村･下善･東原町内会),,,麁玉中学校
浜松市立北浜北小学校,ハママツシリツ　ショウガッコウ,4340033,浜北区,,浜松市浜北区西美薗1588,34.802644,137.795816,053-587-8250,,浜松市,B122210004527,油一色･道本･高畑(西美薗中町内会･東美薗町内会4～12班)･上善地(油一色町内会)･西美薗(西美薗上･西美薗大上･西美薗中･美薗団地･東美薗町内会4～12班)･東美薗(東美薗町内会4～12班･油一色･美薗団地)･貴布祢(道本町内会)･本沢合(本沢合西･本沢合北･本沢合南･本沢合東･小林上町内会)･小林(小林上･道本･本沢合西町内会)･新原(本沢合西･本沢合北･小林上町内会),,,北浜東部中学校
浜松市立内野小学校,ハママツシリツ　ショウガッコウ,4340044,浜北区,,浜松市浜北区内野1702,34.784486,137.756392,053-586-4001,,浜松市,B122210004536,内野台一丁目･内野台二丁目･内野台三丁目･内野台四丁目･染地台一丁目･染地台二丁目･染地台三丁目･染地台四丁目･染地台五丁目･染地台六丁目･内野(内野上･内野西･雇用促進住宅･内野下･内野小島･富岡町内会),,,浜名中学校
浜松市立北浜南小学校,ハママツシリツ　ショウガッコウ,4340035,浜北区,,浜松市浜北区寺島3010,34.784412,137.791184,053-586-1585,,浜松市,B122210004545,東美薗(6番地)･寺島(寺島東･寺島南･寺島北･若草団地･中条東町内会)･中条(中条北･中条西･中条東町内会)･横須賀(寺島南･中条北町内会),,,北浜中学校
浜松市立伎倍小学校,ハママツシリツ　ショウガッコウ,4340038,浜北区,,浜松市浜北区貴布祢2646,34.801021,137.783475,053-586-8911,,浜松市,B122210004554,新原(2864番地の15)･沼(貴布祢第1･6･7町内会)･小林(小林下･貴布祢第5町内会)･貴布祢(貴布祢第1～第7･社宅･小林下町内会)･小松(小林下･貴布祢第5町内会),,,北浜中学校
浜松市立二俣小学校,ハママツシリツ　ショウガッコウ,4313314,天竜区,,浜松市天竜区二俣町二俣867-1,34.864344,137.812221,053-925-4178,,浜松市,B122210004395,二俣町二俣･二俣町大園･二俣町阿蔵･二俣町鹿島･二俣町南鹿島,,,清竜中学校
浜松市立光明小学校,ハママツシリツ　ショウガッコウ,4313303,天竜区,,浜松市天竜区山東2550,34.877782,137.824606,053-925-3032,,浜松市,B122210004448,大谷･次郎八新田･只来･船明･山東･横川,,,光が丘中学校
浜松市立上阿多古小学校,ハママツシリツ　ショウガッコウ,4313532,天竜区,,浜松市天竜区西藤平1318,34.912298,137.76345,053-928-0004,,浜松市,B122210004402,西藤平･東藤平･阿寺･芦窪･長沢･懐山,,,清竜中学校
浜松市立下阿多古小学校,ハママツシリツ　ショウガッコウ,4313426,天竜区,,浜松市天竜区両島762,34.882916,137.79202,053-926-3511,,浜松市,B122210004411,石神･上野･両島･青谷･渡ヶ島･米沢･日明･緑恵台,,,清竜中学校
浜松市立熊小学校,ハママツシリツ　ショウガッコウ,4313641,天竜区,,浜松市天竜区熊2153,34.959691,137.732981,053-929-0151,,浜松市,B122210004420,熊･神沢･大栗安,,,清竜中学校
浜松市立横山小学校,ハママツシリツ　ショウガッコウ,4313764,天竜区,,浜松市天竜区横山町547,34.942746,137.817575,053-923-0073,,浜松市,B122210004439,横山町･月･小川･相津･伊砂･大川･佐久･谷山･西雲名･東雲名･龍山町大嶺･龍山町戸倉･龍山町下平山･龍山町瀬尻,,,光が丘中学校
浜松市立犬居小学校,ハママツシリツ　ショウガッコウ,4370625,天竜区,,浜松市天竜区春野町堀之内993-1,34.959585,137.897558,053-985-0017,,浜松市,B122210004616,春野町領家･春野町堀之内･春野町胡桃平･春野町和泉平･春野町砂川･春野町大時,,,春野中学校
浜松市立気田小学校,ハママツシリツ　ショウガッコウ,4370605,天竜区,,浜松市天竜区春野町気田603-1,35.003825,137.905829,053-989-0044,,浜松市,B122210004625,春野町長蔵寺･春野町石打松下･春野町田黒･春野町筏戸大上･春野町五和･春野町越木平･春野町田河内･春野町牧野･春野町花島･春野町杉･春野町川上･春野町宮川･春野町気田･春野町豊岡･春野町石切･春野町小俣京丸,,,春野中学校
浜松市立佐久間小学校,ハママツシリツ　ショウガッコウ,4313905,天竜区,,浜松市天竜区佐久間町半場50-1,35.087947,137.803112,053-965-0024,,浜松市,B122210004778,佐久間町相月･佐久間町大井･佐久間町奥領家･佐久間町上平山･佐久間町佐久間･佐久間町戸口･佐久間町中部･佐久間町半場(700番地の1～707番地の8を除く),,,佐久間中学校
浜松市立浦川小学校,ハママツシリツ　ショウガッコウ,4313906,天竜区,,浜松市天竜区佐久間町浦川2819,35.055116,137.76473,053-967-3802,,浜松市,B122210004787,佐久間町浦川･佐久間町川合･佐久間町半場(700番地の1～707番地の8),,,佐久間中学校
浜松市立水窪小学校,ハママツシリツ　ショウガッコウ,4314101,天竜区,,浜松市天竜区水窪町奥領家2697-1,35.16078,137.868393,053-987-0007,,浜松市,B122210004796,水窪町奥領家･水窪町地頭方･水窪町山住,,,水窪中学校
浜松市立気賀小学校,ハママツシリツ　ショウガッコウ,4311305,北区,,浜松市北区細江町気賀11529-1,34.810239,137.654476,053-523-0158,,浜松市,B122210004894,細江町小野･細江町広岡･細江町三和(2492番地，2498番地，2502番地～2626番地)･細江町気賀(老ヶ谷･油田･清水･上町･呉石･跡川)･細江町中川(湖東･8区(池の尻･市場)･9区(あらや･あらや下･中原･根古屋･サル平･一の谷)),,,細江中学校
浜松市立西気賀小学校,ハママツシリツ　ショウガッコウ,4311305,北区,,浜松市北区細江町気賀9994-1,34.801877,137.623953,053-523-0142,,浜松市,B122210004901,細江町気賀(下村、中区、寸座),,,細江中学校
浜松市立伊目小学校,ハママツシリツ　ショウガッコウ,4311305,北区,,浜松市北区細江町気賀3241,34.787239,137.643294,053-523-0253,,浜松市,B122210004910,細江町気賀(伊目),,,細江中学校
浜松市立中川小学校,ハママツシリツ　ショウガッコウ,4311304,北区,,浜松市北区細江町中川2553,34.809082,137.677435,053-523-0431,,浜松市,B122210004929,細江町三和(1番地～2491番地，2493番地，2499番地～2501番地)･細江町中川(1区･石岡･祝田･刑部･7区･8区(池の尻･市場を除く)･9区(あらや･あらや下･中原･根古屋･サル平･一の谷を除く)),,,細江中学校
浜松市立井伊谷小学校,ハママツシリツ　ショウガッコウ,4312212,北区,,浜松市北区引佐町井伊谷680,34.832318,137.67222,053-542-0063,,浜松市,B122210004938,引佐町井伊谷･引佐町黒渕(51番地の1、52番地の2、55番地の6)･引佐町白岩･引佐町花平･引佐町三岳･引佐町横尾･引佐町川名･引佐町東久留女木(383番地まで)･引佐町伊平･引佐町兎荷･引佐町西黒田･引佐町東黒田(9番地～20番地を除く)･神宮寺町,,,引佐南部中学校
浜松市立金指小学校,ハママツシリツ　ショウガッコウ,4312213,北区,,浜松市北区引佐町金指1369,34.821342,137.678454,053-542-0114,,浜松市,B122210004947,引佐町金指,,,引佐南部中学校
浜松市立奥山小学校,ハママツシリツ　ショウガッコウ,4312224,北区,,浜松市北区引佐町奥山1101-1,34.845396,137.628896,053-543-0310,,浜松市,B122210004956,引佐町奥山･引佐町狩宿･引佐町黒渕(51番地の1、52番地の2、55番地の6を除く)･引佐町田畑･引佐町栃窪･引佐町谷沢,,,引佐南部中学校
浜松市立三ヶ日東小学校,ハママツシリツ　ショウガッコウ,4311402,北区,,浜松市北区三ヶ日町都筑2266-2,34.793359,137.581688,053-526-7034,,浜松市,B122210004974,三ヶ日町大谷･三ヶ日町駒場･三ヶ日町佐久米･三ヶ日町都筑･三ヶ日町大崎,,,三ヶ日中学校
