施設名称,郵便番号,所在地,所在地2,電話,緯度,経度,NO,区
竜川幼稚園,4313764,浜松市天竜区横山町547,,053-923-0735,34.942974,137.817268,39,天竜区
熊幼稚園,4313641,浜松市天竜区熊2153,,053-929-0133,34.959508,137.732949,40,天竜区
上阿多古幼稚園,4313532,浜松市天竜区西藤平1266-1,,053-928-0030,34.911953,137.763880,41,天竜区
下阿多古幼稚園,4313426,浜松市天竜区両島762,,053-925-6755,34.882928,137.792076,42,天竜区
犬居幼稚園,4370625,浜松市天竜区春野町堀之内989-1,,053-985-0821,34.958860,137.898197,43,天竜区
気田幼稚園,4370605,浜松市天竜区春野町気田624,,053-989-0201,35.004315,137.906709,44,天竜区
浦川幼稚園,4313906,浜松市天竜区佐久間町浦川2799,,053-967-3803,35.052205,137.760943,45,天竜区
佐久間幼稚園,4313905,浜松市天竜区佐久間町半場47,,053-965-0260,35.087518,137.802187,46,天竜区
西気賀幼稚園,4311305,浜松市北区細江町気賀10052-4,,053-523-1149,34.803195,137.623369,47,北区
伊目幼稚園,4311305,浜松市北区細江町気賀3207-1,,053-523-1197,34.787337,137.642771,48,北区
中川幼稚園,4311304,浜松市北区細江町中川2418-2,,053-523-1364,34.809130,137.678457,49,北区
中央幼稚園,4311305,浜松市北区細江町気賀304,,053-523-0135,34.805873,137.651106,50,北区
高台幼稚園,4311304,浜松市北区細江町中川7172-701,,053-523-0879,34.794164,137.685429,51,北区
引佐幼稚園,4312216,浜松市北区神宮寺町8-48,,053-542-1933,34.831332,137.671005,52,北区
金指幼稚園,4312213,浜松市北区引佐町金指862-3,,053-542-2115,34.822953,137.683036,53,北区
奥山幼稚園,4312224,浜松市北区引佐町奥山1110-1,,053-543-0158,34.845846,137.629730,54,北区
伊平幼稚園,4312205,浜松市北区引佐町伊平778-1,,053-544-0718,34.864972,137.661065,55,北区
引佐北部みさと幼稚園,4312536,浜松市北区引佐町田沢432-1,,053-544-0739,34.897821,137.656363,56,北区
尾奈幼稚園,4311424,浜松市北区三ヶ日町下尾奈1461-1,,053-524-0011,34.784836,137.538071,57,北区
大崎幼稚園,4311403,浜松市北区三ヶ日町大崎1665-20,,053-526-0517,34.772356,137.563452,58,北区
平山幼稚園,4311417,浜松市北区三ヶ日町平山223-1,,053-524-0608,34.825425,137.536848,59,北区
内野幼稚園,4340044,浜松市浜北区内野1648-1,,053-586-4777,34.783310,137.756409,60,浜北区
