施設名称,郵便番号,所在地,所在地2,電話番号,緯度,経度,募集人数（0歳),募集人数(1歳),募集人数（2歳),募集人数（3歳),募集人数（4歳),募集人数（5歳),申込状況(0歳),申込状況(1歳),申込状況(2歳),申込状況(3歳),申込状況(4歳),申込状況(5歳),NO,区
浜松中央こども園,4300949,浜松市中区尾張町127-7,,053-453-0249,34.711873,137.730485,0,0,2,2,2,3,0,0,0,0,0,0,14,中区
たかい丘こども園,4338119,浜松市中区高丘北二丁目25-21,,053-437-6530,34.761980,137.704451,0,0,0,0,0,0,7,6,8,1,0,0,15,中区
聖隷こども園ひかりの子,4350052,浜松市東区天王町1896,,053-421-6822,34.740964,137.767397,0,0,0,0,0,0,0,4,6,0,0,0,16,東区
いずみこども園,4350056,浜松市東区小池町710,,053-434-4411,34.751661,137.760293,1,0,0,0,0,0,2,3,4,2,0,0,17,東区
市野与進こども園,4350051,浜松市東区市野町2636,,053-423-3535,34.747838,137.767207,2,0,0,1,0,0,0,6,5,2,1,0,18,東区
まるづかこども園,4350046,浜松市東区丸塚町287-1,,053-465-2525,34.727744,137.760012,0,0,0,0,0,0,3,3,4,0,0,0,19,東区
太陽さぎのみやこども園,4313113,浜松市東区大瀬町752,,053-432-5515,34.760677,137.763006,0,0,0,0,0,0,0,2,3,1,1,0,20,東区
遊歩の丘かみにしこども園,4350048,浜松市東区上西町853-2,,053-468-1818,34.723329,137.759049,0,0,0,0,0,0,13,12,7,0,0,0,21,東区
きなりこどもえん,4300803,浜松市東区植松町53-4,,053-424-6666,34.710358,137.754558,0,0,0,0,0,0,7,7,8,3,1,0,22,東区
若宮こども園,4313113,浜松市東区大瀬町2050,,053-433-2727,34.759125,137.775673,0,0,0,0,0,0,1,8,4,0,1,0,23,東区
蒲こども園,4350014,浜松市東区大蒲町95-2,,053-463-1540,34.715127,137.766585,1,0,0,0,0,0,0,1,2,1,0,0,24,東区
そらいろこども園,4350051,浜松市東区市野町1084,,053-581-8670,34.751169,137.778747,0,0,0,0,0,0,5,4,4,1,0,0,25,東区
ありたまこども園,4313122,浜松市東区有玉南町2013,,053-479-5588,34.749551,137.746120,0,2,0,0,0,0,10,10,7,2,0,0,26,東区
天竜こども園,4350018,浜松市東区薬新町315-1,,053-421-5355,34.722067,137.785910,0,0,0,0,0,0,2,11,0,2,0,0,27,東区
浜松東こども園,4350042,浜松市東区篠ケ瀬町580-3,,053-421-5590,34.727630,137.777965,0,0,0,0,0,0,0,5,0,0,0,0,28,東区
和光こども園,4311101,浜松市西区和光町517,,053-486-0434,34.786344,137.680454,4,0,0,0,0,0,0,0,0,0,0,0,29,西区
入野こども園,4328061,浜松市西区入野町10827-1,,053-448-1026,34.695438,137.673843,1,0,0,0,0,0,2,4,4,1,1,0,30,西区
さざんかこども園,4310201,浜松市西区篠原町25654,,053-449-6116,34.676285,137.658658,0,0,0,1,2,2,0,1,0,0,0,0,31,西区
春日こども園,4310203,浜松市西区馬郡町2560,,053-592-1600,34.683469,137.627861,0,0,0,4,0,1,1,1,0,0,1,0,32,西区
瞳ヶ丘こども園,4311112,浜松市西区大人見町12-654,,053-485-5003,34.733828,137.647761,0,0,0,1,1,0,3,1,1,0,0,1,33,西区
順愛こども園,4310211,浜松市西区舞阪町舞阪5372,,053-592-7733,34.685498,137.622775,1,0,0,0,0,0,6,0,2,0,0,0,34,西区
雄踏ちゅうりっぷこども園,4310102,浜松市西区雄踏町宇布見7454-1,,053-596-9900,34.700518,137.633215,0,0,0,0,1,1,2,1,1,1,0,0,35,西区
湖東白ゆりこども園,4311103,浜松市西区湖東町5826-1,,053-486-5301,34.761228,137.685219,0,0,0,0,0,0,3,1,2,0,0,0,36,西区
ずだじこども園,4300814,浜松市南区恩地町291,,053-427-2332,34.686366,137.762748,0,0,0,0,0,0,6,18,5,7,3,0,37,南区
太陽こども園,4350028,浜松市南区飯田町1507,,053-426-1515,34.708218,137.781600,0,0,0,0,0,0,0,2,0,0,1,0,38,南区
太陽第二こども園,4300846,浜松市南区白羽町1231,,053-441-0006,34.675379,137.735422,1,1,0,1,1,0,0,0,1,0,0,0,39,南区
平和こども園,4300853,浜松市南区三島町1200,,053-443-1601,34.687229,137.747771,0,0,0,0,0,0,5,12,7,4,7,2,40,南区
なかよしこども園,4300853,浜松市南区三島町1230,,053-441-1122,34.689361,137.747854,1,0,0,0,0,0,4,5,3,0,0,1,41,南区
ハローこども園,4300825,浜松市南区下江町522,,053-425-5586,34.680677,137.773229,0,0,0,0,0,0,2,0,4,0,0,0,42,南区
たかつか光こども園,4328065,浜松市南区高塚町2312-16,,053-449-8000,34.686308,137.683758,0,0,0,0,1,0,2,4,4,2,0,0,43,南区
はぁもにぃこども園,4350038,浜松市南区三和町782,,053-464-8770,34.700992,137.772786,0,0,0,0,0,0,3,7,3,0,0,1,44,南区
若林こどもの園,4328051,浜松市南区若林町2658-1,,053-401-3786,34.693778,137.701631,0,0,0,0,0,0,5,3,2,2,0,0,45,南区
クリストファーこども園,4338105,浜松市北区三方原町2762,,053-430-1700,34.787045,137.694658,0,0,1,0,0,0,2,1,3,4,2,2,46,北区
聖隷こども園わかば,4338108,浜松市北区根洗町645-1,,053-437-0822,34.793969,137.695202,2,0,2,0,0,0,0,0,0,1,0,0,47,北区
聖隷こども園桜ヶ丘,4312102,浜松市北区都田町8749-3,,053-428-2494,34.811199,137.737081,2,0,0,0,0,0,1,0,0,0,0,0,48,北区
なごみこども園,4338105,浜松市北区三方原町1367-1,,053-420-7530,34.783039,137.711229,0,0,0,1,0,0,1,6,1,0,0,2,49,北区
みどりのもり都田,4312102,浜松市北区都田町6497-1,,053-428-3208,34.824332,137.715112,2,0,0,3,0,0,2,1,0,0,1,0,50,北区
こども園みらい,4338101,浜松市北区三幸町159-1,,053-439-3060,34.796690,137.714726,3,1,0,1,0,0,0,4,0,1,1,0,51,北区
認定こども園きじの里,4340046,浜松市浜北区染地台五丁目4-3,,053-585-3375,34.791496,137.750142,0,0,0,0,0,0,3,0,2,0,1,0,52,浜北区
子育てセンターこまつ,4340042,浜松市浜北区小松3221,,053-584-0170,34.782697,137.770872,0,0,0,0,0,0,8,1,4,0,1,0,53,浜北区
子育てセンターきぶね,4340038,浜松市浜北区貴布祢2668,,053-584-0172,34.800212,137.782942,0,0,0,0,0,0,3,0,1,0,1,0,54,浜北区
子育てセンターしばもと,4340015,浜松市浜北区於呂3087-2,,053-580-0050,34.823381,137.799693,0,0,0,0,0,0,0,0,5,2,2,0,55,浜北区
子育てセンターしんぱら,4340003,浜松市浜北区新原2669,,053-580-1011,34.815280,137.773797,0,0,0,0,0,0,0,1,5,0,0,0,56,浜北区
子育てセンターなかぜ,4340012,浜松市浜北区中瀬673,,053-584-0174,34.809672,137.806199,0,0,0,0,0,0,4,1,4,1,0,0,57,浜北区
遊歩の丘はまなこども園,4340042,浜松市浜北区小松1285-1,,053-585-4141,34.792610,137.771558,0,0,0,0,0,0,7,2,4,0,1,0,58,浜北区
子育てセンターかきのみ,4340012,浜松市浜北区中瀬2308,,053-545-3870,34.829987,137.809337,0,0,0,0,1,0,2,3,6,0,1,0,59,浜北区
あゆみの森こども園,4340035,浜松市浜北区寺島2889-1,,053-585-2345,34.786614,137.794274,0,0,0,0,1,0,8,5,5,0,0,0,60,浜北区
子育てセンターみゅうのおか,4340016,浜松市浜北区根堅2596-1,,053-545-6380,34.853094,137.801201,0,0,0,0,1,0,1,1,3,0,0,1,61,浜北区
こども園ことり,4340044,浜松市浜北区内野5221-5,,053-585-0260,34.784828,137.756358,2,0,2,1,1,2,0,0,0,0,0,0,62,浜北区
ひらくちかえでこども園,4340041,浜松市浜北区平口160,,053-585-1701,34.800569,137.761290,0,0,0,1,0,1,1,11,2,2,0,0,63,浜北区
風の子こども園,4340041,浜松市浜北区平口1973,,053-544-4150,34.800569,137.761290,0,0,0,0,1,0,4,6,4,5,1,0,64,浜北区
森のいえはまきた,4340015,浜松市浜北区於呂2739,,053-580-3131,34.833447,137.795825,0,0,0,2,0,1,0,2,1,0,1,0,65,浜北区
子育てセンターすぎのこ,4313305,浜松市天竜区大谷111-1,,053-922-0170,34.872389,137.816798,1,0,0,0,0,0,0,2,2,1,1,2,66,天竜区
子育てセンターやまびこ,4313303,浜松市天竜区山東3577,,053-922-0180,34.870505,137.825595,0,0,0,0,0,0,0,3,3,2,2,1,67,天竜区
あそびこども園浜松,4350006,浜松市東区下石田町320,,053-422-2525,34.742574,137.784210,0,0,0,0,0,0,0,4,1,0,0,0,68,東区
浜っ子こども園,4350008,浜松市東区松小池町340,,053-422-2525,34.734031,137.791460,0,0,0,0,0,0,2,5,1,3,0,0,69,東区
