施設名,郵便番号,所在地,所在地2,電話番号,分類,緯度,経度,募集人数（0歳),募集人数(1歳),募集人数（2歳),募集人数（3歳),募集人数（4歳),募集人数（5歳),申込状況(0歳),申込状況(1歳),申込状況(2歳),申込状況(3歳),申込状況(4歳),申込状況(5歳),NO,区
ヒーローズおおひらだい保育園,4328068,浜松市西区大平台二丁目17-28,,053-489-5366,小規模保育事業,34.715754,137.682592,0,0,2,,,,1,0,0,,,,41,西区
すこやか保育園,4300853,浜松市南区三島町103-1,,053-444-3730,小規模保育事業,34.689482,137.738408,0,0,0,,,,0,1,0,,,,42,南区
ニチイキッズ南浜松保育園,4350034,浜松市南区安松町12-10,,053-467-5031,小規模保育事業,34.692850,137.768216,3,0,2,,,,0,2,0,,,,43,南区
みつばち保育園,4300854,浜松市南区瓜内町844-3,,053-444-3282,小規模保育事業,34.687713,137.736083,0,0,0,,,,0,0,0,,,,44,南区
えんのき保育園,4300816,浜松市南区参野町128,,053-424-6822,小規模保育事業,34.693708,137.755446,0,0,0,,,,1,2,0,,,,45,南区
こどものおうち　すぃーとぴー,4300814,浜松市南区恩地町297-2,,053-427-2332,小規模保育事業,34.687436,137.760057,0,0,0,,,,1,2,0,,,,46,南区
たいようナーサリールーム,4350028,浜松市南区飯田町1461-1,,053-424-6630,小規模保育事業,34.706564,137.781299,1,1,1,,,,0,1,0,,,,47,南区
なごみ保育室,4338105,浜松市北区三方原町1364-5,,053-525-9666,小規模保育事業,34.783410,137.711570,0,0,0,,,,1,2,0,,,,48,北区
もくば保育園,4338112,浜松市北区初生町1303-5,,053-437-5300,小規模保育事業,34.770331,137.715916,3,1,1,,,,0,0,0,,,,49,北区
"nursery garden こぐま",4338103,浜松市北区豊岡町416-2,,053-401-1780,小規模保育事業,34.792233,137.728568,2,0,0,,,,0,0,0,,,,50,北区
ヒーローズ貴布祢保育園,4340038,浜松市浜北区貴布祢2484,,070-1523-2239,小規模保育事業,34.797417,137.785955,0,0,0,,,,1,2,1,,,,51,浜北区
トットハウス浜北なかぜ,4340012,浜松市浜北区中瀬2628-16,,053-401-5360,小規模保育事業,34.837116,137.809693,1,0,1,,,,0,0,0,,,,52,浜北区
聖隷浜松病院ひばり保育園,4300906,浜松市中区住吉二丁目24-4,,053-474-3123,事業所内保育事業,34.732696,137.724422,3,1,2,,,,1,0,0,,,,53,中区
あゆみ保育園,4328021,浜松市中区佐鳴台五丁目9-5,,053-454-0804,事業所内保育事業,34.713773,137.699282,2,2,2,,,,0,0,0,,,,54,中区
キッズホームてんとうむし,4338109,浜松市中区花川町819,,053-414-6001,事業所内保育事業,34.777557,137.688594,3,1,0,,,,0,0,0,,,,55,中区
しんえい保育園,4338124,浜松市中区泉二丁目31-10,,053-476-5955,事業所内保育事業,34.744259,137.719785,0,0,0,,,,0,3,0,,,,56,中区
遊歩の丘まちなかナーサリー,4300929,浜松市中区中央一丁目2-2-102,イーステージ浜松タワー,053-401-4441,事業所内保育事業,34.711651,137.734736,0,0,0,,,,0,1,0,,,,57,中区
KIKI保育園　中島園,4300856,浜松市中区中島四丁目8-5,,053-544-9818,事業所内保育事業,34.696939,137.747796,1,1,0,,,,1,0,0,,,,58,中区
湖東の森保育園,4311103,浜松市西区湖東町1074,,053-486-3513,事業所内保育事業,34.761144,137.661034,0,0,1,,,,0,0,0,,,,59,西区
こりす保育園,4328001,浜松市西区西山町518-6,,053-485-7011,事業所内保育事業,34.740578,137.689825,0,0,1,,,,1,0,0,,,,60,西区
すみれ保育園,4328054,浜松市南区田尻町120-1,,053-443-1155,事業所内保育事業,34.680706,137.725878,0,0,0,,,,0,0,0,,,,61,南区
かもめ保育園,4312102,浜松市北区都田町8786,,053-428-5202,事業所内保育事業,34.812882,137.734888,2,2,0,,,,0,0,0,,,,62,北区
十全双葉保育園,4340041,浜松市浜北区平口1969-1,,053-585-4345,事業所内保育事業,34.794020,137.769043,1,0,1,,,,0,1,0,,,,63,浜北区
