項目,名称,カナ,郵便番号,区,所在地_住所1,開設場所,使用種別,緯度,経度,電話番号,指定小学校,定員,開所時間（平日）,閉所時間（平日）,開所時間（長期）,閉所時間（長期）,開設（土曜日）,費用（保育料）,費用（おやつ代）,備考
46,ポプラの子第1,,,東区,浜松市東区神立町5,蒲小学校,専用教室,34.71704,137.757912,090-2262-4952,蒲小学校,,,,,,,,,
47,ポプラの子第2,,,東区,浜松市東区神立町5,蒲小学校,専用教室,34.71704,137.757912,090-7855-9870,蒲小学校,,,,,,,,,
48,ポプラの子第3,,,東区,浜松市東区子安町309-1,蒲協働センター,,34.712872,137.761371,090-4251-6546,蒲小学校,,,,,,,,,
49,たけの子,,,東区,浜松市東区安間町437-2,和田東小学校,専用施設,34.720965,137.789148,090-5622-2546,和田東小学校,,,,,,,,,
50,たけの子第2,,,東区,浜松市東区安間町437-2,和田東小学校,専用施設,34.720965,137.789148,080-8265-8370,和田東小学校,,,,,,,,,
51,すぎの子,,,東区,浜松市東区中野町427-1,中ノ町小学校,余裕教室,34.730183,137.793135,090-2572-4898,中ノ町小学校,,,,,,,,,
52,すぎの子第2,,,東区,浜松市東区中野町427-1,中ノ町小学校,専用施設,34.730183,137.793135,090-9124-4271,中ノ町小学校,,,,,,,,,
53,おおせ,,,東区,浜松市東区大瀬町2218,大瀬小学校,専用施設,34.756738,137.772822,090-2269-3724,大瀬小学校,,,,,,,,,
54,おおせ第2,,,東区,浜松市東区大瀬町2218,大瀬小学校,余裕教室,34.756738,137.772822,080-8268-8641,大瀬小学校,,,,,,,,,
55,ありたま,,,東区,浜松市東区有玉南町614,有玉小学校,余裕教室,34.758005,137.750315,090-1096-3852,有玉小学校,,,,,,,,,
56,与進北,,,東区,浜松市東区市野町2715,与進北小学校,専用施設,34.746739,137.765744,090-2261-6854,与進北小学校,,,,,,,,,
57,なかごおり,,,東区,浜松市東区中郡町915,中郡小学校,余裕教室,34.770871,137.773948,090-6614-8579,中郡小学校,,,,,,,,,
58,なかごおり第2,,,東区,浜松市東区中郡町915,中郡小学校,専用教室,34.770871,137.773948,080-1590-7216,中郡小学校,,,,,,,,,
59,かさいっこ,,,東区,浜松市東区笠井町1050,笠井小学校,専用施設,34.771162,137.795304,090-4860-5684,笠井小学校,,,,,,,,,
60,かさいっこ第2,,,東区,浜松市東区笠井町1050,笠井小学校,専用施設,34.771162,137.795304,090-2687-5877,笠井小学校,,,,,,,,,
61,とよにしっこ,,,東区,浜松市東区豊西町1551,豊西小学校,専用施設,34.767297,137.804187,090-2925-9041,豊西小学校,,,,,,,,,
62,よしん第1,,,東区,浜松市東区天王町1351,与進小学校,専用施設,34.741025,137.771218,070-7773-4524,与進小学校,,,,,,,,,
63,よしん第2,,,東区,浜松市東区天王町1351,与進小学校,専用施設,34.741025,137.771218,070-7773-4525,与進小学校,,,,,,,,,
64,よしん第3,,,東区,浜松市東区天王町1351,与進小学校,専用施設,34.741025,137.771218,070-7773-4526,与進小学校,,,,,,,,,
65,よしん第4,,,東区,浜松市東区天王町1351,与進小学校,専用施設,34.741025,137.771218,070-7604-0585,与進小学校,,,,,,,,,
66,よしん第5,,,東区,浜松市東区天王町1351,与進小学校,専用施設,34.741025,137.771218,070-7604-0586,与進小学校,,,,,,,,,
67,和田っ子,,,東区,浜松市東区薬師町273-2,和田小学校,専用施設,34.724941,137.782906,070-7773-4527,和田小学校,,,,,,,,,
68,和田っ子第2,,,東区,浜松市東区薬師町273-2,和田小学校,専用施設,34.724941,137.782906,070-7773-4528,和田小学校,,,,,,,,,
69,和田っ子第3,,,東区,浜松市東区薬師町273-2,和田小学校,余裕教室,34.724941,137.782906,070-7604-0587,和田小学校,,,,,,,,,
70,松かげ,,,西区,浜松市西区神原町922,神久呂協働センター,,34.733605,137.669432,080-1609-6076,神久呂小学校,,,,,,,,,
71,松かげ第2,,,西区,浜松市西区神ヶ谷町3490,神久呂小学校,専用施設,34.72707,137.668974,080-1621-4258,神久呂小学校,,,,,,,,,
72,めだか,,,西区,浜松市西区入野町6470-1,市有地（入野小隣接）,専用施設,34.698776,137.685779,090-7914-2489,入野小学校,,,,,,,,,
73,篠浜,,,西区,浜松市西区篠原町10300,篠原小学校,専用施設,34.683801,137.656429,090-1476-1159,篠原小学校,,,,,,,,,
74,伊佐見第1,,,西区,浜松市西区伊左地町54-3,伊佐見協働センター敷地,専用施設,34.74704,137.667666,090-2571-8947,伊佐見小学校,,,,,,,,,
75,伊佐見第2,,,西区,浜松市西区伊左地町54-3,伊佐見協働センター敷地,専用施設,34.74704,137.667666,080-1565-8022,伊佐見小学校,,,,,,,,,
76,どんぐり,,,西区,浜松市西区大平台三丁目6-2,大平台小学校,専用施設,34.714898,137.679994,090-5609-0822,大平台小学校,,,,,,,,,
77,どんぐり第2,,,西区,浜松市西区大平台三丁目6-2,大平台小学校,専用施設,34.714898,137.679994,090-2684-6765,大平台小学校,,,,,,,,,
78,西都台,,,西区,浜松市西区西鴨江町1106,西都台小学校,専用施設,34.703309,137.664212,080-2658-6206,西都台小学校,,,,,,,,,
79,西都台第2,,,西区,浜松市西区西鴨江町1106,西都台小学校,専用施設,34.703309,137.664212,090-7431-4561,西都台小学校,,,,,,,,,
80,舞阪なかよし,,,西区,浜松市西区舞阪町舞阪76,舞阪小学校,専用施設,34.685928,137.611126,090-3307-6306,舞阪小学校,,,,,,,,,
81,舞阪なかよし第2,,,西区,浜松市西区舞阪町舞阪76,舞阪小学校,専用施設,34.685928,137.611126,080-1566-2560,舞阪小学校,,,,,,,,,
82,雄踏なかよし第1,,,西区,浜松市西区雄踏町宇布見7997-2,雄踏小学校,専用施設,34.701572,137.633243,053-592-3115,雄踏小学校,,,,,,,,,
83,雄踏なかよし第2,,,西区,浜松市西区雄踏町宇布見7406,雄踏幼稚園,,34.706721,137.630981,080-6960-3018,雄踏小学校,,,,,,,,,
84,雄踏なかよし第3,,,西区,浜松市西区雄踏町宇布見7458,西ヶ崎公会堂,,34.704225,137.630873,070-2211-3115,雄踏小学校,,,,,,,,,
85,わじ第1,,,西区,浜松市西区湖東町2005,和地小学校,専用施設,34.766641,137.666822,070-7773-4529,和地小学校,,,,,,,,,
86,わじ第2,,,西区,浜松市西区和地町6578,和地協働センター,,34.766783,137.665806,070-7773-4530,和地小学校,,,,,,,,,
87,庄内学園,,,西区,浜松市西区庄内町2-1,庄内小学校,専用施設,34.755991,137.609215,070-7773-4531,庄内小学校,,,,,,,,,
88,村櫛,,,西区,浜松市西区村櫛町2551,村櫛小学校,余裕教室,34.728335,137.595255,070-7773-4532,村櫛小学校,,,,,,,,,
89,さなえ,,,南区,浜松市南区芳川町206-1,芳川小学校,専用施設,34.69252,137.766415,090-8151-5800,芳川小学校,,,,,,,,,
90,さなえ第2,,,南区,浜松市南区芳川町206-1,芳川小学校,専用施設,34.69252,137.766415,090-2618-3717,芳川小学校,,,,,,,,,
91,なかよし,,,南区,浜松市南区新橋町910,新津協働センター,,34.681933,137.706931,090-8734-4953,新津小学校,,,,,,,,,
92,なかよし第2,,,南区,浜松市南区新橋町777,新津小学校,専用教室,34.682733,137.703102,090-2186-2415,新津小学校,,,,,,,,,
93,南の星第1,,,南区,浜松市南区西島町1148-1,南の星小学校,専用教室,34.662615,137.768259,090-5617-3788,南の星小学校,,,,,,,,,
94,南の星第2,,,南区,浜松市南区西島町1148-1,南の星小学校,専用教室,34.662615,137.768259,090-7955-2149,南の星小学校,,,,,,,,,
95,すなおか,,,南区,浜松市南区白羽町2512,砂丘小学校,余裕教室,34.667704,137.726005,090-3458-4723,砂丘小学校,,,,,,,,,
96,芳北小,,,南区,浜松市南区頭陀寺町1046-1,芳川北小学校,専用施設,34.698938,137.760932,090-9941-6890,芳川北小学校,,,,,,,,,
97,芳北小第2,,,南区,浜松市南区頭陀寺町1046-1,芳川北小学校,専用施設,34.698938,137.760932,080-4954-2137,芳川北小学校,,,,,,,,,
98,いなほ,,,南区,浜松市南区飯田町978,飯田小学校,専用施設,34.706426,137.774084,090-2261-5892,飯田小学校,,,,,,,,,
99,可美希望学級,,,南区,浜松市南区若林町1748,可美小学校,余裕教室,34.689622,137.695405,090-3388-3284,可美小学校,,,,,,,,,
100,可美希望学級第2,,,南区,浜松市南区若林町1748,可美小学校,専用教室,34.689622,137.695405,080-1556-9420,可美小学校,,,,,,,,,
101,かわわ,,,南区,浜松市南区東町333,河輪小学校,専用施設,34.676083,137.782585,090-5033-0670,河輪小学校,,,,,,,,,
102,かわわ第2,,,南区,浜松市南区東町333,河輪小学校,専用施設,34.676083,137.782585,090-3386-5196,河輪小学校,,,,,,,,,
103,しらわき,,,南区,浜松市南区寺脇町431,白脇小学校,専用施設,34.681858,137.74484,070-7773-4533,白脇小学校,,,,,,,,,
104,しらわき第2,,,南区,浜松市南区寺脇町431,白脇小学校,専用施設,34.681858,137.74484,070-7773-4534,白脇小学校,,,,,,,,,
105,しらわき第3,,,南区,浜松市南区寺脇町241,白脇協働センター,,34.682101,137.742515,070-7773-4535,白脇小学校,,,,,,,,,
106,とよおか,,,北区,浜松市北区豊岡町22,豊岡小学校,専用施設,34.78696,137.719417,070-7604-0589,豊岡小学校,,,,,,,,,
107,とよおか第2,,,北区,浜松市北区豊岡町22,豊岡幼稚園,,34.78696,137.719417,070-7604-0590,豊岡小学校,,,,,,,,,
108,はつおい第1,,,北区,浜松市北区初生町1001-2,初生小学校,専用施設,34.768903,137.727457,090-9260-0415,初生小学校,,,,,,,,,
109,はつおい第2,,,北区,浜松市北区初生町1001-2,初生小学校,専用施設,34.768903,137.727457,090-3444-1835,初生小学校,,,,,,,,,
110,はつおい第3,,,北区,浜松市北区初生町1001-2,初生小学校,専用施設,34.768903,137.727457,080-5293-1836,初生小学校,,,,,,,,,
111,みかた,,,北区,浜松市北区三方原町682,三方原小学校,専用施設,34.778061,137.712186,090-2269-9159,三方原小学校,,,,,,,,,
112,みかた第2,,,北区,浜松市北区三方原町682,三方原小学校,専用施設,34.778061,137.712186,090-9020-2022,三方原小学校,,,,,,,,,
113,ひばり,,,北区,浜松市北区都田町8751,都田南小学校,専用施設,34.811469,137.737753,090-9258-7596,都田南小学校,,,,,,,,,
114,ひばり第2,,,北区,浜松市北区都田町8751,都田南小学校,専用施設,34.811469,137.737753,090-5030-2581,都田南小学校,,,,,,,,,
115,てんぱく,,,北区,浜松市北区都田町5609-2,都田小学校,専用教室,34.827495,137.71715,090-5033-6983,都田小学校,,,,,,,,,
116,気賀放課後児童クラブ,,,北区,浜松市北区細江町気賀11529-1,気賀小学校,余裕教室,34.810219,137.654433,053-523-0250,気賀小学校,,,,,,,,,
117,気賀第2放課後児童クラブ,,,北区,浜松市北区細江町気賀11529-1,気賀小学校,余裕教室,34.810219,137.654433,053-523-0255,気賀小学校,,,,,,,,,
118,中川放課後児童クラブ,,,北区,浜松市北区細江町中川2553-2,中川小学校,専用施設,34.809088,137.677427,053-522-5433,中川小学校,,,,,,,,,
119,西気賀放課後児童クラブ,,,北区,浜松市北区細江町気賀10004,西気賀小学校,余裕教室,34.801886,137.624048,053-523-3766,西気賀小学校,,,,,,,,,
120,伊目放課後児童クラブ,,,北区,浜松市北区細江町気賀3241,伊目小学校,専用施設,34.78735,137.643094,053-523-0553,伊目小学校,,,,,,,,,
121,井伊谷放課後児童クラブ,,,北区,浜松市北区神宮寺町8-1,市有地,専用施設,34.830719,137.670859,053-542-4520,井伊谷小学校,,,,,,,,,
122,井伊谷第2放課後児童クラブ,,,北区,浜松市北区井伊谷616-5,引佐協働センター,,34.834529,137.670513,053-542-0045,井伊谷小・奥山小・引佐北部小,,,,,,,,,
123,金指放課後児童クラブ,,,北区,浜松市北区引佐町金指1015-4,市有地,専用施設,34.820285,137.682034,053-542-2722,金指小,,,,,,,,,
124,三ヶ日東放課後児童クラブ,,,北区,浜松市北区三ヶ日町都筑2266-2,三ヶ日東小学校,専用施設,34.793402,137.581936,053-526-7004,三ヶ日東小学校,,,,,,,,,
125,三ヶ日西放課後児童クラブ,,,北区,浜松市北区三ケ日町三ヶ日301-1,三ヶ日西小学校,余裕教室,34.809187,137.55363,053-525-1350,三ヶ日西小学校,,,,,,,,,
126,浜名第一ビーバークラブ,,,浜北区,浜松市浜北区小松1450,浜名小学校,専用施設,34.789704,137.768114,053-586-4482,浜名小学校,,,,,,,,,
127,浜名第二ビーバークラブ,,,浜北区,浜松市浜北区小松1450,浜名小学校,専用施設,34.789704,137.768114,053-585-8688,浜名小学校,,,,,,,,,
128,浜名第三ビーバークラブ,,,浜北区,浜松市浜北区小松1450,浜名小学校,専用施設,34.789704,137.768114,053-585-8689,浜名小学校,,,,,,,,,
129,第一イルカクラブ,,,浜北区,浜松市浜北区内野1702,内野小学校,専用施設,34.784662,137.757389,053-424-6571,内野小学校,,,,,,,,,
130,第二イルカクラブ,,,浜北区,浜松市浜北区内野1702,内野小学校,専用施設,34.784662,137.757389,053-424-6572,内野小学校,,,,,,,,,
131,第一ラッコクラブ,,,浜北区,浜松市浜北区内野1702,内野小学校,専用施設,34.784662,137.757389,053-586-0618,内野小学校,,,,,,,,,
132,第二ラッコクラブ,,,浜北区,浜松市浜北区内野1702,内野小学校,専用施設,34.784662,137.757389,053-586-0639,内野小学校,,,,,,,,,
133,北浜すずらんクラブ,,,浜北区,浜松市浜北区西美薗1588,北浜北小学校,専用施設,34.802743,137.795825,053-586-5951,北浜北小学校,,,,,,,,,
134,すみれクラブ,,,浜北区,浜松市浜北区西美薗1588,北浜北小学校,専用施設,34.802743,137.795825,053-586-9101,北浜北小学校,,,,,,,,,
135,秋桜クラブ,,,浜北区,浜松市浜北区横須賀800,北浜小学校,余裕教室,34.791894,137.791598,053-586-5753,北浜小学校,,,,,,,,,
136,ひまわりクラブ,,,浜北区,浜松市浜北区貴布祢2646,伎倍小学校,専用施設,34.800897,137.783515,053-586-9680,伎倍小学校,,,,,,,,,
137,北浜南たんぽぽクラブ,,,浜北区,浜松市浜北区寺島3010,北浜南小学校,専用施設,34.784313,137.791499,053-586-9639,北浜南小学校,,,,,,,,,
138,たつのこクラブ,,,浜北区,浜松市浜北区善地1546,北浜東小学校,専用施設,34.791664,137.81014,053-586-4125,北浜東小学校,,,,,,,,,
139,第一パンサークラブ,,,浜北区,浜松市浜北区中瀬3648-1,中瀬小学校,余裕教室,34.823892,137.81145,053-588-0644,中瀬小学校,,,,,,,,,
140,第二パンサークラブ,,,浜北区,浜松市浜北区中瀬3648-1,中瀬小学校,専用施設,34.823892,137.81145,053-588-0780,中瀬小学校,,,,,,,,,
141,第三パンサークラブ,,,浜北区,浜松市浜北区中瀬3648-1,中瀬小学校,専用施設,34.823892,137.81145,053-588-0781,中瀬小学校,,,,,,,,,
142,赤佐タイガークラブ,,,浜北区,浜松市浜北区於呂2790,赤佐小学校,専用施設,34.837531,137.797247,053-588-4511,赤佐小学校,,,,,,,,,
143,第一タイガークラブ,,,浜北区,浜松市浜北区於呂2790,赤佐小学校,専用施設,34.837531,137.797247,053-588-0085,赤佐小学校,,,,,,,,,
144,第二タイガークラブ,,,浜北区,浜松市浜北区於呂2790,赤佐小学校,専用施設,34.837531,137.797247,053-588-0087,赤佐小学校,,,,,,,,,
145,麁玉イーグルクラブ,,,浜北区,浜松市浜北区宮口262,麁玉小学校,専用施設,34.829695,137.770539,053-582-2378,麁玉小学校,,,,,,,,,
146,新原スマイルクラブ,,,浜北区,浜松市浜北区新原2331,新原小学校,専用施設,34.81808,137.780511,053-582-1789,新原小学校,,,,,,,,,
147,きじの里放課後児童クラブ,,,浜北区,浜松市浜北区染地台五丁目4-3,事業者所有施設,,34.791496,137.750142,053-589-3363,内野小学校,,,,,,,,,
148,みゅうのおか放課後児童クラブ,,,浜北区,浜松市浜北区根堅2596-1,事業者所有施設,,34.853094,137.801201,053-545-6381,赤佐小学校ほか,,,,,,,,,
149,やまびこ児童クラブ,,,天竜区,浜松市天竜区山東3382-5,事業者所有施設,,34.870419,137.82635,053-925-1130,光明小学校,,,,,,,,,
150,やまびこ第2児童クラブ,,,天竜区,浜松市天竜区山東3382-5,事業者所有施設,,34.870419,137.82635,053-925-1130,光明小学校,,,,,,,,,
151,ふたまた児童クラブ,,,天竜区,浜松市天竜区二俣町二俣867-1,二俣小学校,専用教室,34.864279,137.812381,090-4440-9352,二俣小学校,,,,,,,,,
152,ふたまた第2児童クラブ,,,天竜区,浜松市天竜区二俣町二俣867-1,二俣小学校,専用教室,34.864279,137.812381,090-4440-9352,二俣小学校,,,,,,,,,
